hh_id,responded,phase2,y,tenure,interview_domain
H00004,1,1,2.29865109,RENT,D01
H00011,1,1,1.91574651,RENT,D01
H00016,1,1,1.83849258,OWN,D01
H00023,1,1,1.94452700,OWN,D01
H00033,1,1,1.11106848,OWN,D01
H00048,1,1,1.14808992,OWN,D01
H00049,1,1,1.79946273,RENT,D01
H00056,1,1,1.64648056,RENT,D01
H00060,1,1,1.15545277,OWN,D01
H00062,1,1,1.51464617,RENT,D01
H00068,1,1,1.35239423,OWN,D01
H00069,1,1,1.27991807,OWN,D01
H00078,1,1,1.06279956,OWN,D01
H00083,1,1,2.52253718,OWN,D02
H00093,1,1,1.76457552,OWN,D02
H00096,1,1,1.77035847,OWN,D02
H00100,1,1,2.11653860,RENT,D02
H00101,1,1,2.46087399,RENT,D02
H00111,1,1,1.58333938,RENT,D02
H00116,1,1,0.97160022,OWN,D02
H00129,1,1,1.11502627,RENT,D02
H00142,1,1,1.41564730,RENT,D02
H00149,1,1,1.23600450,OWN,D02
H00157,1,1,1.22547216,OWN,D02
H00169,1,1,2.51089592,OWN,D03
H00173,1,1,1.89675402,OWN,D03
H00174,1,1,2.42177306,RENT,D03
H00176,1,1,2.16298500,OWN,D03
H00182,1,1,2.38615106,OWN,D03
H00203,1,1,2.01490735,RENT,D03
H00209,1,1,1.24227814,RENT,D03
H00210,1,1,1.20227509,OWN,D03
H00220,1,1,1.32890655,OWN,D03
H00228,1,1,2.01755339,RENT,D03
H00235,1,1,1.78355140,RENT,D03
H00238,1,1,1.13873055,RENT,D03
H00241,1,1,2.14258750,OWN,D04
H00244,1,1,2.27456574,OWN,D04
H00250,1,1,1.80737447,OWN,D04
H00251,1,1,2.07650347,RENT,D04
H00258,1,1,2.71633123,RENT,D04
H00267,1,1,2.29786036,RENT,D04
H00269,1,1,2.17584414,OWN,D04
H00270,1,1,2.39013434,RENT,D04
H00275,1,1,2.15314937,OWN,D04
H00286,1,1,1.10455319,OWN,D04
H00309,1,1,0.96569961,OWN,D04
H00315,1,1,1.95651104,RENT,D04
H00321,1,1,2.38577354,RENT,D05
H00337,1,1,1.85577068,OWN,D05
H00343,1,1,2.17301750,RENT,D05
H00356,1,1,2.01967375,OWN,D05
H00358,1,1,2.38811062,RENT,D05
H00362,1,1,2.26504936,RENT,D05
H00364,1,1,1.67789485,OWN,D05
H00368,1,1,1.96569994,OWN,D05
H00375,1,1,1.05049440,OWN,D05
H00377,1,1,1.62471864,RENT,D05
H00381,1,1,1.71743791,OWN,D05
H00383,1,1,1.00849801,RENT,D05
H00389,1,1,1.47402631,RENT,D05
H00392,1,1,1.60173897,RENT,D05
H00410,1,1,2.28213096,OWN,D06
H00412,1,1,2.25932902,RENT,D06
H00416,1,1,2.20530378,OWN,D06
H00427,1,1,1.58835023,OWN,D06
H00434,1,1,1.84631558,OWN,D06
H00444,1,1,2.77677850,RENT,D06
H00447,1,1,1.95752060,OWN,D06
H00465,1,1,1.07377992,RENT,D06
H00468,1,1,1.75008305,RENT,D06
H00469,1,1,1.16272098,OWN,D06
H00493,1,1,2.03737034,RENT,D07
H00504,1,1,2.13165110,OWN,D07
H00507,1,1,1.24865844,RENT,D07
H00508,1,1,1.84788562,RENT,D07
H00509,1,1,1.35584918,OWN,D07
H00516,1,1,1.75517240,RENT,D07
H00527,1,1,0.86874418,OWN,D07
H00529,1,1,1.46817642,RENT,D07
H00533,1,1,1.19195361,OWN,D07
H00556,1,1,1.72755777,RENT,D07
H00559,1,1,1.03112497,OWN,D07
H00560,1,1,1.29812640,RENT,D07
H00570,1,1,2.38932441,OWN,D08
H00587,1,1,0.94255636,OWN,D08
H00592,1,1,0.60490136,RENT,D08
H00601,1,1,1.88391197,RENT,D08
H00604,1,1,1.05553297,RENT,D08
H00607,1,1,1.15540878,RENT,D08
H00612,1,1,1.89348380,RENT,D08
H00622,1,1,1.18654263,RENT,D08
H00625,1,1,1.67151544,RENT,D08
H00632,1,1,1.51351801,OWN,D08
H00636,1,1,1.25346665,RENT,D08
H00637,1,1,1.65600294,RENT,D08
H00643,1,1,2.29675586,OWN,D09
H00651,1,1,2.28238928,OWN,D09
H00652,1,1,2.69623626,OWN,D09
H00656,1,1,2.31453034,OWN,D09
H00669,1,1,1.37780853,OWN,D09
H00673,1,1,2.13662464,RENT,D09
H00678,1,1,1.92521031,RENT,D09
H00689,1,1,1.07178072,OWN,D09
H00692,1,1,1.31486411,OWN,D09
H00693,1,1,1.71453816,OWN,D09
H00696,1,1,1.96618199,OWN,D09
H00697,1,1,1.84190487,OWN,D09
H00706,1,1,1.84090484,RENT,D09
H00707,1,1,1.80045922,RENT,D09
H00709,1,1,2.19502560,RENT,D09
H00722,1,1,2.35271262,RENT,D10
H00746,1,1,1.75868700,RENT,D10
H00748,1,1,1.38712351,OWN,D10
H00750,1,1,1.41322710,OWN,D10
H00752,1,1,1.65209053,RENT,D10
H00758,1,1,1.37813191,OWN,D10
H00771,1,1,1.11842606,OWN,D10
H00785,1,1,1.53118873,OWN,D10
H00797,1,1,1.61148235,OWN,D10
H00806,1,1,2.38046409,OWN,D11
H00808,1,1,2.62999968,RENT,D11
H00813,1,1,2.93017610,RENT,D11
H00817,1,1,2.69451506,RENT,D11
H00823,1,1,2.46431960,OWN,D11
H00832,1,1,2.89479617,RENT,D11
H00840,1,1,1.06715668,OWN,D11
H00841,1,1,1.59571762,RENT,D11
H00849,1,1,2.06588165,RENT,D11
H00854,1,1,1.97565540,OWN,D11
H00864,1,1,1.87594122,OWN,D11
H00865,1,1,1.72131581,OWN,D11
H00880,1,1,2.00000042,RENT,D11
H00895,1,1,2.70164018,OWN,D12
H00907,1,1,2.34784998,OWN,D12
