domain_id,status,est_ate,est_se
D01,identified,0.591061,0.049071
D02,identified,0.642878,0.057677
D03,identified,0.296732,0.589101
D04,identified,0.569127,0.093499
D05,identified,0.530507,0.066761
D06,identified,0.647917,0.070198
D07,identified,0.540766,0.134980
D08,identified,0.634678,0.362032
D09,identified,0.270013,0.074041
D10,identified,0.565918,0.031311
D11,identified,0.470623,0.017552
D12,identified,0.190957,0.021265
D13,identified,0.796166,0.180624
D14,identified,0.625620,0.221578
D15,identified,0.242409,0.390830
D16,identified,0.720380,0.122124
D17,identified,0.067000,0.032755
D18,identified,0.415654,0.002420
D19,identified,0.581452,0.280345
D20,identified,0.457279,0.215278
D21,identified,0.498766,0.314731
D22,identified,0.235915,0.020708
D23,identified,0.470120,0.299203
D24,identified,0.550706,0.359136
D25,identified,0.375778,0.188834
D26,identified,0.429224,0.018371
D27,identified,0.193451,0.275723
D28,identified,0.221779,0.241536
D29,identified,0.563532,0.082683
D30,identified,0.321412,0.109973
D31,identified,0.102353,0.015147
D32,identified,0.284334,0.267544
