hh_id,listing_domain
H00000,L03
H00001,L02
H00002,L04
H00003,L02
H00004,L03
H00005,L07
H00006,L01
H00007,L01
H00008,L04
H00009,L04
H00010,L06
H00011,L02
H00012,L03
H00013,L01
H00014,L01
H00015,L04
H00016,L04
H00017,L01
H00018,L03
H00019,L03
H00020,L04
H00021,L01
H00022,L06
H00023,L01
H00024,L05
H00025,L08
H00026,L08
H00027,L02
H00028,L07
H00029,L01
H00030,L04
H00031,L04
H00032,L02
H00033,L01
H00034,L07
H00035,L03
H00036,L03
H00037,L08
H00038,L05
H00039,L04
H00040,L03
H00041,L02
H00042,L07
H00043,L07
H00044,L05
H00045,L08
H00046,L02
H00047,L07
H00048,L07
H00049,L07
H00050,L03
H00051,L01
H00052,L02
H00053,L02
H00054,L07
H00055,L07
H00056,L06
H00057,L05
H00058,L02
H00059,L08
H00060,L05
H00061,L02
H00062,L03
H00063,L01
H00064,L07
H00065,L08
H00066,L04
H00067,L06
H00068,L03
H00069,L05
H00070,L08
H00071,L05
H00072,L06
H00073,L08
H00074,L04
H00075,L07
H00076,L06
H00077,L01
H00078,L02
H00079,L05
H00080,L02
H00081,L07
H00082,L04
H00083,L01
H00084,L06
H00085,L06
H00086,L06
H00087,L07
H00088,L02
H00089,L03
H00090,L06
H00091,L05
H00092,L01
H00093,L07
H00094,L03
H00095,L03
H00096,L02
H00097,L05
H00098,L08
H00099,L07
H00100,L02
H00101,L07
H00102,L01
H00103,L07
H00104,L06
H00105,L07
H00106,L06
H00107,L03
H00108,L04
H00109,L04
H00110,L01
H00111,L05
H00112,L04
H00113,L03
H00114,L08
H00115,L06
H00116,L04
H00117,L03
H00118,L03
H00119,L08
H00120,L01
H00121,L01
H00122,L08
H00123,L01
H00124,L06
H00125,L04
H00126,L03
H00127,L05
H00128,L04
H00129,L03
H00130,L01
H00131,L07
H00132,L02
H00133,L04
H00134,L07
H00135,L05
H00136,L08
H00137,L08
H00138,L05
H00139,L07
H00140,L02
H00141,L03
H00142,L06
H00143,L01
H00144,L05
H00145,L01
H00146,L07
H00147,L02
H00148,L03
H00149,L03
H00150,L04
H00151,L06
H00152,L08
H00153,L03
H00154,L04
H00155,L07
H00156,L04
H00157,L03
H00158,L07
H00159,L01
H00160,L04
H00161,L07
H00162,L01
H00163,L07
H00164,L06
H00165,L07
H00166,L02
H00167,L06
H00168,L03
H00169,L03
H00170,L01
H00171,L03
H00172,L03
H00173,L04
H00174,L04
H00175,L04
H00176,L08
H00177,L05
H00178,L04
H00179,L01
H00180,L08
H00181,L03
H00182,L07
H00183,L08
H00184,L02
H00185,L03
H00186,L06
H00187,L01
H00188,L05
H00189,L03
H00190,L07
H00191,L04
H00192,L06
H00193,L01
H00194,L02
H00195,L06
H00196,L03
H00197,L05
H00198,L07
H00199,L06
H00200,L03
H00201,L08
H00202,L08
H00203,L07
H00204,L06
H00205,L02
H00206,L07
H00207,L04
H00208,L04
H00209,L05
H00210,L06
H00211,L02
H00212,L04
H00213,L03
H00214,L03
H00215,L07
H00216,L07
H00217,L05
H00218,L02
H00219,L08
H00220,L03
H00221,L03
H00222,L04
H00223,L08
H00224,L08
H00225,L02
H00226,L08
H00227,L08
H00228,L02
H00229,L03
H00230,L06
H00231,L03
H00232,L02
H00233,L02
H00234,L08
H00235,L05
H00236,L02
H00237,L04
H00238,L04
H00239,L01
H00240,L06
H00241,L02
H00242,L02
H00243,L01
H00244,L05
H00245,L08
H00246,L06
H00247,L02
H00248,L06
H00249,L06
H00250,L08
H00251,L03
H00252,L01
H00253,L07
H00254,L08
H00255,L02
H00256,L02
H00257,L01
H00258,L08
H00259,L08
H00260,L06
H00261,L06
H00262,L01
H00263,L08
H00264,L01
H00265,L07
H00266,L01
H00267,L03
H00268,L07
H00269,L01
H00270,L07
H00271,L03
H00272,L06
H00273,L01
H00274,L06
H00275,L01
H00276,L03
H00277,L06
H00278,L03
H00279,L05
