hh_id,responded,phase2,y,tenure,assigned,interview_domain
H00012,1,1,2.44513033,RENT,1,D01
H00013,1,1,1.93026204,OWN,1,D01
H00018,0,0,,RENT,1,D01
H00023,0,0,,OWN,1,D01
H00026,1,1,1.31676570,RENT,1,D01
H00036,1,1,1.19982411,OWN,1,D01
H00048,1,1,1.14808992,OWN,1,D01
H00049,1,1,1.79946273,RENT,0,D01
H00053,1,1,1.27844258,RENT,0,D01
H00065,1,1,1.49387757,RENT,0,D01
H00067,1,1,0.88501651,OWN,0,D01
H00075,1,1,0.72490399,OWN,0,D01
H00077,1,1,1.81582659,RENT,1,D01
H00086,1,1,1.92208913,OWN,1,D02
H00089,1,1,2.11589298,OWN,1,D02
H00090,0,0,,RENT,1,D02
H00094,0,0,,RENT,1,D02
H00098,1,1,2.25509264,OWN,1,D02
H00107,1,1,1.11665674,OWN,0,D02
H00126,1,1,0.94367106,OWN,0,D02
H00127,1,1,1.55036995,RENT,0,D02
H00139,1,1,2.00945558,RENT,0,D02
H00144,1,1,1.62244354,RENT,0,D02
H00160,1,1,1.80150604,RENT,1,D02
H00164,1,1,1.92940431,OWN,1,D03
H00182,1,1,2.38615106,OWN,0,D03
H00201,0,0,,OWN,1,D03
H00204,1,1,1.36715223,OWN,0,D03
H00207,1,1,0.84821502,OWN,0,D03
H00225,1,1,1.49989734,OWN,0,D03
H00235,1,1,1.78355140,RENT,1,D03
H00244,1,1,2.27456574,OWN,0,D04
H00246,0,0,,OWN,1,D04
H00248,1,1,2.38406750,RENT,1,D04
H00254,0,0,,OWN,1,D04
H00260,1,1,2.23607045,RENT,0,D04
H00263,0,0,,OWN,1,D04
H00267,1,1,2.29786036,RENT,1,D04
H00271,1,1,1.91647929,OWN,1,D04
H00277,1,1,1.79737330,RENT,1,D04
H00286,1,1,1.10455319,OWN,0,D04
H00287,1,1,0.98974610,OWN,0,D04
H00293,1,1,1.66413518,OWN,0,D04
H00298,1,1,1.07156158,OWN,1,D04
H00313,1,1,0.90570136,OWN,0,D04
H00314,1,1,1.71893949,RENT,1,D04
H00319,1,1,1.19149553,OWN,0,D04
H00320,1,1,1.28382123,OWN,0,D04
H00327,1,1,2.39358747,RENT,1,D05
H00329,1,1,2.09516506,RENT,1,D05
H00332,1,1,2.02795024,OWN,1,D05
H00333,1,1,2.30354256,RENT,1,D05
H00337,1,1,1.85577068,OWN,0,D05
H00352,0,0,,OWN,1,D05
H00358,1,1,2.38811062,RENT,1,D05
H00362,0,0,,RENT,1,D05
H00368,1,1,1.96569994,OWN,1,D05
H00369,1,1,1.88987671,RENT,0,D05
H00388,1,1,1.73410258,RENT,0,D05
H00397,0,0,,RENT,0,D05
H00398,1,1,1.09227486,OWN,0,D05
H00405,1,1,2.40855032,RENT,1,D06
H00413,0,0,,OWN,1,D06
H00414,0,0,,OWN,1,D06
