domain_id,status,est_ate,est_se
D01,identified,0.454964,0.131675
D02,identified,0.588505,0.090560
D03,identified,0.281526,0.310423
D04,identified,0.396352,0.419424
D05,identified,0.538100,0.159230
D06,identified,0.802804,0.158290
D07,identified,0.501594,0.045042
D08,identified,0.010419,0.095788
D09,identified,0.624601,0.044388
D10,identified,0.267624,0.033676
D11,identified,0.398685,0.061379
D12,identified,-0.167821,0.067804
D13,identified,0.348648,0.038683
D14,identified,-0.617181,0.000371
D15,identified,0.162946,0.762022
D16,identified,0.388665,0.281621
D17,identified,0.800140,0.092168
D18,identified,0.251174,0.047263
D19,identified,0.008922,0.175524
D20,identified,0.502072,0.001405
D21,identified,0.551314,0.317180
D22,identified,0.948451,0.197706
D23,identified,0.143268,0.246512
D24,identified,0.125151,0.141138
D25,identified,0.711789,0.025144
D26,identified,0.119606,0.036185
D27,identified,0.604375,0.165154
D28,identified,0.402504,0.006456
D29,identified,0.236864,0.128818
D30,identified,-0.300081,0.496921
D31,identified,0.842503,0.195187
D32,identified,-0.029041,0.094303
