hh_id,listing_domain
H00000,L02
H00001,L05
H00002,L02
H00003,L08
H00004,L04
H00005,L01
H00006,L03
H00007,L05
H00008,L07
H00009,L03
H00010,L04
H00011,L04
H00012,L07
H00013,L07
H00014,L01
H00015,L03
H00016,L02
H00017,L05
H00018,L06
H00019,L07
H00020,L07
H00021,L06
H00022,L06
H00023,L02
H00024,L02
H00025,L04
H00026,L08
H00027,L03
H00028,L08
H00029,L02
H00030,L08
H00031,L07
H00032,L02
H00033,L05
H00034,L07
H00035,L05
H00036,L02
H00037,L04
H00038,L08
H00039,L04
H00040,L03
H00041,L01
H00042,L06
H00043,L02
H00044,L07
H00045,L01
H00046,L08
H00047,L03
H00048,L04
H00049,L02
H00050,L07
H00051,L05
H00052,L06
H00053,L04
H00054,L08
H00055,L01
H00056,L03
H00057,L08
H00058,L05
H00059,L01
H00060,L08
H00061,L03
H00062,L06
H00063,L03
H00064,L08
H00065,L02
H00066,L06
H00067,L05
H00068,L07
H00069,L07
H00070,L05
H00071,L03
H00072,L01
H00073,L02
H00074,L08
H00075,L08
H00076,L05
H00077,L03
H00078,L08
H00079,L08
H00080,L06
H00081,L06
H00082,L05
H00083,L03
H00084,L08
H00085,L03
H00086,L06
H00087,L04
H00088,L05
H00089,L01
H00090,L02
H00091,L06
H00092,L06
H00093,L03
H00094,L08
H00095,L06
H00096,L06
H00097,L01
H00098,L01
H00099,L06
H00100,L03
H00101,L04
H00102,L08
H00103,L05
H00104,L05
H00105,L02
H00106,L05
H00107,L01
H00108,L08
H00109,L02
H00110,L05
H00111,L01
H00112,L02
H00113,L01
H00114,L07
H00115,L08
H00116,L04
H00117,L06
H00118,L02
H00119,L01
H00120,L06
H00121,L07
H00122,L04
H00123,L04
H00124,L07
H00125,L04
H00126,L05
H00127,L08
H00128,L05
H00129,L04
H00130,L05
H00131,L07
H00132,L02
H00133,L02
H00134,L05
H00135,L02
H00136,L08
H00137,L04
H00138,L01
H00139,L08
H00140,L07
H00141,L01
H00142,L05
H00143,L04
H00144,L08
H00145,L04
H00146,L04
H00147,L02
H00148,L04
H00149,L02
H00150,L05
H00151,L03
H00152,L02
H00153,L04
H00154,L08
H00155,L03
H00156,L06
H00157,L04
H00158,L05
H00159,L02
H00160,L06
H00161,L08
H00162,L02
H00163,L05
H00164,L08
H00165,L01
H00166,L04
H00167,L03
H00168,L03
H00169,L06
H00170,L03
H00171,L05
H00172,L04
H00173,L03
H00174,L03
H00175,L07
H00176,L08
H00177,L07
H00178,L04
H00179,L08
