domain_id,status,est_ate,est_se
D01,identified,0.359275,0.122707
D02,identified,0.426986,0.101123
D03,identified,0.220014,0.177395
D04,identified,0.768313,0.283339
D05,identified,0.330461,0.635246
D06,identified,0.403095,0.247294
D07,identified,0.848450,0.403471
D08,identified,0.434607,0.059140
D09,identified,0.104149,0.421290
D10,unidentified,,
D11,identified,0.496002,0.211303
D12,identified,0.446419,0.333687
D13,identified,0.676470,0.252492
D14,identified,0.376726,0.518097
D15,identified,-0.316962,0.179437
D16,identified,0.775310,0.082396
D17,identified,0.702431,0.062290
D18,identified,0.194038,0.273018
D19,identified,0.648467,0.227138
D20,identified,0.616310,0.024371
D21,identified,0.490643,0.061020
D22,identified,0.274200,0.205211
D23,identified,0.292118,0.045146
D24,identified,0.416339,0.231030
D25,identified,0.522670,0.070129
D26,identified,0.682066,0.255382
D27,identified,0.266324,0.041515
D28,identified,0.372199,0.291786
D29,identified,0.225296,0.398974
D30,identified,0.352801,0.201592
D31,identified,0.253557,0.182549
D32,identified,0.105828,0.307541
