domain_id,status,est_ate,est_se
D01,identified,0.317334,0.000000
D02,identified,0.517355,0.181233
D03,identified,0.589331,0.156560
D04,identified,-0.039712,0.784422
D05,identified,0.466012,0.137637
D06,identified,0.248343,0.146109
D07,identified,0.563776,0.076258
D08,identified,-0.033242,0.341220
D09,identified,0.384479,0.104294
D10,identified,0.794844,0.020253
D11,identified,0.395699,0.198363
D12,identified,0.036846,0.279965
D13,identified,-0.164403,0.161594
D14,identified,0.856200,0.146763
D15,identified,0.477942,0.052460
D16,identified,0.519333,0.041469
D17,identified,0.440172,0.299797
D18,identified,0.268050,0.136198
D19,identified,0.475174,0.383042
D20,identified,0.665339,0.130390
D21,identified,0.278531,0.237356
D22,identified,0.444525,0.072108
D23,identified,0.552673,0.001567
D24,identified,0.543420,0.236658
D25,identified,0.099373,0.013645
D26,identified,0.001662,0.096838
D27,identified,0.546524,0.207652
D28,identified,0.650310,0.261557
D29,identified,-0.327744,0.053002
D30,identified,0.492645,0.056613
D31,identified,0.550007,0.124401
D32,identified,0.061859,0.183516
