hh_id,listing_domain
H00000,L06
H00001,L05
H00002,L02
H00003,L09
H00004,L09
H00005,L08
H00006,L09
H00007,L05
H00008,L07
H00009,L06
H00010,L04
H00011,L04
H00012,L01
H00013,L01
H00014,L01
H00015,L02
H00016,L07
H00017,L03
H00018,L06
H00019,L06
H00020,L08
H00021,L07
H00022,L02
H00023,L09
H00024,L03
H00025,L08
H00026,L03
H00027,L07
H00028,L04
H00029,L04
H00030,L06
H00031,L01
H00032,L06
H00033,L09
H00034,L06
H00035,L09
H00036,L09
H00037,L03
H00038,L09
H00039,L05
H00040,L01
H00041,L01
H00042,L04
H00043,L01
H00044,L07
H00045,L02
H00046,L07
H00047,L01
H00048,L04
H00049,L04
H00050,L02
H00051,L03
H00052,L01
H00053,L06
H00054,L01
H00055,L07
H00056,L01
H00057,L07
H00058,L04
H00059,L03
H00060,L04
H00061,L08
H00062,L06
H00063,L04
H00064,L02
H00065,L04
H00066,L02
H00067,L01
H00068,L02
H00069,L08
H00070,L01
H00071,L03
H00072,L04
H00073,L04
H00074,L04
H00075,L02
H00076,L09
H00077,L09
H00078,L01
H00079,L09
H00080,L03
H00081,L03
H00082,L07
H00083,L03
H00084,L02
H00085,L08
H00086,L01
H00087,L08
H00088,L04
H00089,L05
H00090,L07
H00091,L04
H00092,L08
H00093,L09
H00094,L04
H00095,L02
H00096,L03
H00097,L05
H00098,L03
H00099,L07
H00100,L06
H00101,L06
H00102,L02
H00103,L07
H00104,L02
H00105,L06
H00106,L07
H00107,L09
H00108,L04
H00109,L06
H00110,L04
H00111,L01
H00112,L09
H00113,L01
H00114,L08
H00115,L02
H00116,L09
H00117,L02
H00118,L04
H00119,L09
H00120,L09
H00121,L09
H00122,L09
H00123,L03
H00124,L05
H00125,L06
H00126,L09
H00127,L09
H00128,L09
H00129,L09
H00130,L07
H00131,L05
H00132,L04
H00133,L01
H00134,L06
H00135,L03
H00136,L07
H00137,L03
H00138,L09
H00139,L09
H00140,L02
H00141,L03
H00142,L05
H00143,L06
H00144,L09
H00145,L07
H00146,L07
H00147,L08
H00148,L05
H00149,L01
H00150,L09
H00151,L02
H00152,L01
H00153,L08
H00154,L06
H00155,L01
H00156,L06
H00157,L02
H00158,L06
H00159,L08
H00160,L04
H00161,L02
H00162,L08
H00163,L05
H00164,L09
H00165,L03
H00166,L09
H00167,L08
H00168,L01
H00169,L08
H00170,L06
H00171,L07
H00172,L02
H00173,L08
H00174,L02
H00175,L07
H00176,L07
H00177,L05
H00178,L01
H00179,L07
H00180,L09
H00181,L03
H00182,L02
H00183,L05
H00184,L06
H00185,L05
H00186,L09
H00187,L04
H00188,L02
H00189,L03
H00190,L02
H00191,L08
H00192,L09
H00193,L05
H00194,L08
H00195,L02
H00196,L03
H00197,L08
H00198,L08
H00199,L06
H00200,L06
H00201,L07
H00202,L06
H00203,L01
H00204,L05
H00205,L03
H00206,L07
H00207,L08
H00208,L06
H00209,L07
H00210,L02
H00211,L02
H00212,L06
H00213,L08
H00214,L06
H00215,L07
H00216,L08
H00217,L08
H00218,L05
H00219,L09
