hh_id,responded,phase2,y,tenure,assigned,interview_domain
H00002,1,1,2.29409591,RENT,1,D01
H00025,1,1,1.25043957,RENT,0,D01
H00031,1,1,1.50630365,RENT,0,D01
H00034,1,1,1.33629087,RENT,1,D01
H00042,1,1,1.17621472,RENT,1,D01
H00051,1,1,1.15678822,OWN,0,D01
H00057,1,1,0.99270609,OWN,0,D01
H00073,1,1,1.15683599,OWN,0,D01
H00087,1,1,2.26842037,RENT,1,D02
H00088,1,1,2.27536706,OWN,0,D02
H00092,1,1,2.22072030,RENT,1,D02
H00097,1,1,2.34212561,OWN,0,D02
H00098,1,1,2.25509264,OWN,0,D02
H00100,1,1,2.11653860,RENT,1,D02
H00102,1,1,1.68272407,OWN,1,D02
H00107,1,1,1.11665674,OWN,0,D02
H00119,1,1,1.45298718,OWN,0,D02
H00130,1,1,1.28856636,OWN,0,D02
H00133,1,1,1.48348733,RENT,0,D02
H00137,1,1,1.22179413,OWN,0,D02
H00146,1,1,0.93628275,OWN,0,D02
H00160,1,1,1.80150604,RENT,0,D02
H00166,1,1,1.52261289,OWN,0,D03
H00169,1,1,2.51089592,OWN,1,D03
H00172,1,1,2.09562013,RENT,1,D03
H00173,1,1,1.89675402,OWN,0,D03
H00183,1,1,1.79307200,OWN,0,D03
H00184,1,1,2.66408251,RENT,1,D03
H00192,1,1,2.30317558,RENT,0,D03
H00193,1,1,2.58882244,RENT,1,D03
H00196,1,1,2.36081194,RENT,1,D03
H00225,1,1,1.49989734,OWN,0,D03
H00230,1,1,1.34481790,RENT,0,D03
H00234,1,1,1.69500954,RENT,1,D03
H00243,1,1,1.91653466,OWN,1,D04
H00248,1,1,2.38406750,RENT,1,D04
H00249,1,1,2.37454549,RENT,0,D04
H00251,1,1,2.07650347,RENT,1,D04
H00257,1,1,2.52926830,RENT,0,D04
H00258,1,1,2.71633123,RENT,1,D04
H00269,1,1,2.17584414,OWN,1,D04
H00276,1,1,2.40163694,RENT,1,D04
H00289,1,1,1.08874613,OWN,1,D04
H00300,1,1,1.58034904,OWN,0,D04
H00323,1,1,2.23264456,RENT,1,D05
H00325,1,1,2.24032294,OWN,1,D05
H00326,1,1,2.32492050,OWN,0,D05
H00327,1,1,2.39358747,RENT,1,D05
H00329,1,1,2.09516506,RENT,0,D05
H00333,1,1,2.30354256,RENT,1,D05
H00339,1,1,2.21170574,OWN,1,D05
H00350,1,1,2.22884772,RENT,0,D05
H00356,1,1,2.01967375,OWN,0,D05
H00365,1,1,2.59818566,RENT,1,D05
H00367,1,1,2.07297048,OWN,0,D05
H00370,1,1,0.84559827,OWN,0,D05
H00406,1,1,1.78675095,RENT,1,D06
H00417,1,1,2.46917064,RENT,1,D06
H00418,1,1,2.16081274,OWN,1,D06
H00422,1,1,2.28059186,RENT,0,D06
H00426,1,1,2.66408330,RENT,0,D06
H00430,1,1,2.28085875,OWN,0,D06
H00431,1,1,2.46137625,RENT,1,D06
H00443,1,1,1.97829675,OWN,0,D06
H00444,1,1,2.77677850,RENT,1,D06
H00450,1,1,1.45705784,OWN,0,D06
H00484,1,1,2.32140554,OWN,1,D07
H00497,1,1,2.01383938,OWN,1,D07
H00502,1,1,2.77256377,RENT,0,D07
H00503,1,1,2.24913038,RENT,1,D07
H00504,1,1,2.13165110,OWN,1,D07
H00506,1,1,1.11836466,OWN,0,D07
H00534,1,1,1.02453403,OWN,0,D07
H00545,1,1,1.55660067,OWN,0,D07
H00556,1,1,1.72755777,RENT,1,D07
H00557,1,1,1.38153611,OWN,0,D07
H00568,1,1,2.26370867,OWN,1,D08
H00575,1,1,2.41441252,RENT,0,D08
H00585,1,1,1.12949736,OWN,1,D08
H00589,1,1,1.34693452,RENT,0,D08
H00612,1,1,1.89348380,RENT,0,D08
H00617,1,1,1.84932586,RENT,0,D08
H00618,1,1,1.67013968,RENT,0,D08
H00623,1,1,1.56091507,RENT,1,D08
H00628,1,1,1.47297266,RENT,0,D08
H00631,1,1,0.99440744,OWN,0,D08
H00632,1,1,1.51351801,OWN,0,D08
H00637,1,1,1.65600294,RENT,0,D08
H00643,1,1,2.29675586,OWN,1,D09
H00646,1,1,2.34106884,OWN,1,D09
H00654,1,1,2.83863558,RENT,1,D09
H00663,1,1,2.69542632,RENT,1,D09
H00673,1,1,2.13662464,RENT,0,D09
H00683,1,1,1.53662643,OWN,1,D09
H00688,1,1,1.57677512,OWN,1,D09
H00692,1,1,1.31486411,OWN,0,D09
H00701,1,1,1.66446304,OWN,0,D09
H00703,1,1,1.53293531,OWN,0,D09
H00704,1,1,1.58865766,OWN,0,D09
H00705,1,1,1.88222350,RENT,0,D09
H00710,1,1,2.08799697,RENT,0,D09
H00722,1,1,2.35271262,RENT,1,D10
H00724,1,1,2.53743029,RENT,1,D10
H00727,1,1,2.30997307,OWN,1,D10
H00733,1,1,2.41710386,OWN,1,D10
H00734,1,1,2.49280156,RENT,1,D10
H00737,1,1,2.47153848,OWN,1,D10
H00752,1,1,1.65209053,RENT,1,D10
H00792,1,1,1.40697235,OWN,0,D10
H00793,1,1,1.56094214,OWN,0,D10
H00808,1,1,2.62999968,RENT,0,D11
H00811,1,1,2.67854428,OWN,1,D11
H00813,1,1,2.93017610,RENT,1,D11
H00819,1,1,2.61901862,OWN,1,D11
H00829,1,1,2.07596810,OWN,1,D11
H00838,1,1,1.66737497,RENT,0,D11
H00854,1,1,1.97565540,OWN,0,D11
H00861,1,1,2.01408511,RENT,1,D11
H00865,1,1,1.72131581,OWN,1,D11
H00872,1,1,1.58877782,OWN,0,D11
H00873,1,1,1.55637468,OWN,0,D11
H00880,1,1,2.00000042,RENT,1,D11
H00883,1,1,3.31250215,RENT,1,D12
H00887,1,1,2.65007877,RENT,1,D12
