hh_id,responded,phase2,y,tenure,interview_domain
H00004,1,1,2.29865109,RENT,D01
H00017,1,1,2.36011564,OWN,D01
H00020,1,1,2.12202728,OWN,D01
H00027,1,1,1.05482014,OWN,D01
H00036,1,1,1.19982411,OWN,D01
H00043,1,1,1.17941263,OWN,D01
H00044,1,1,1.83156301,RENT,D01
H00053,1,1,1.27844258,RENT,D01
H00072,1,1,0.98084075,OWN,D01
H00080,1,1,1.53265948,RENT,D01
H00103,1,1,2.13549859,RENT,D02
H00107,1,1,1.11665674,OWN,D02
H00113,1,1,1.36813745,OWN,D02
H00114,1,1,1.40154892,OWN,D02
H00115,1,1,1.15591783,OWN,D02
H00122,1,1,1.44281484,OWN,D02
H00132,1,1,1.25454774,RENT,D02
H00144,1,1,1.62244354,RENT,D02
H00147,1,1,0.76599606,OWN,D02
H00159,1,1,0.71753481,OWN,D02
H00169,1,1,2.51089592,OWN,D03
H00180,1,1,1.83197149,RENT,D03
H00190,1,1,1.90831217,OWN,D03
H00194,1,1,2.51807770,RENT,D03
H00209,1,1,1.24227814,RENT,D03
H00213,1,1,1.58985023,OWN,D03
H00214,1,1,1.51510300,OWN,D03
H00218,1,1,1.40364462,RENT,D03
H00227,1,1,0.82982101,OWN,D03
H00239,1,1,0.98766831,OWN,D03
H00240,1,1,1.65015821,RENT,D03
H00287,1,1,0.98974610,OWN,D04
H00319,1,1,1.19149553,OWN,D04
H00332,1,1,2.02795024,OWN,D05
H00333,1,1,2.30354256,RENT,D05
H00334,1,1,2.35094807,RENT,D05
H00345,1,1,1.69458912,RENT,D05
H00355,1,1,1.55775880,OWN,D05
H00356,1,1,2.01967375,OWN,D05
H00358,1,1,2.38811062,RENT,D05
H00380,1,1,1.33517948,RENT,D05
H00381,1,1,1.71743791,OWN,D05
H00393,1,1,1.12312749,OWN,D05
H00401,1,1,2.24218016,OWN,D06
H00419,1,1,2.56791139,RENT,D06
H00430,1,1,2.28085875,OWN,D06
H00442,1,1,1.84314440,OWN,D06
H00444,1,1,2.77677850,RENT,D06
H00451,1,1,1.48307092,RENT,D06
H00465,1,1,1.07377992,RENT,D06
H00468,1,1,1.75008305,RENT,D06
H00473,1,1,1.58023127,RENT,D06
H00476,1,1,1.63678228,OWN,D06
H00491,1,1,1.91468483,OWN,D07
H00497,1,1,2.01383938,OWN,D07
H00498,1,1,2.19079664,OWN,D07
H00504,1,1,2.13165110,OWN,D07
H00519,1,1,1.57206312,RENT,D07
H00525,1,1,1.85445611,RENT,D07
H00526,1,1,1.52458382,RENT,D07
H00534,1,1,1.02453403,OWN,D07
H00536,1,1,1.31607728,RENT,D07
H00545,1,1,1.55660067,OWN,D07
H00555,1,1,1.49121325,RENT,D07
H00556,1,1,1.72755777,RENT,D07
H00564,1,1,2.48754477,RENT,D08
H00578,1,1,1.62842348,OWN,D08
H00592,1,1,0.60490136,RENT,D08
H00597,1,1,1.32853637,RENT,D08
H00599,1,1,1.32087528,OWN,D08
H00604,1,1,1.05553297,RENT,D08
H00613,1,1,1.12337143,RENT,D08
H00615,1,1,0.86479319,OWN,D08
H00642,1,1,2.36036013,RENT,D09
H00647,1,1,2.66790059,RENT,D09
H00670,1,1,1.96216852,RENT,D09
H00685,1,1,1.84200091,OWN,D09
H00686,1,1,1.63633484,OWN,D09
H00694,1,1,1.80322178,OWN,D09
H00695,1,1,1.76358884,OWN,D09
H00699,1,1,1.44148236,OWN,D09
H00703,1,1,1.53293531,OWN,D09
H00704,1,1,1.58865766,OWN,D09
H00708,1,1,2.10745773,RENT,D09
H00724,1,1,2.53743029,RENT,D10
H00741,1,1,2.11912332,RENT,D10
H00742,1,1,2.07452305,OWN,D10
H00743,1,1,2.86959807,RENT,D10
H00745,1,1,1.25288417,OWN,D10
H00765,1,1,1.81097647,OWN,D10
H00770,1,1,2.28075494,RENT,D10
H00780,1,1,1.79016866,RENT,D10
H00789,1,1,1.88676785,RENT,D10
H00805,1,1,1.96892098,OWN,D11
H00837,1,1,1.84846103,RENT,D11
H00838,1,1,1.66737497,RENT,D11
H00839,1,1,1.45077648,OWN,D11
H00844,1,1,1.44184614,OWN,D11
H00850,1,1,1.52331296,RENT,D11
H00855,1,1,2.10053295,RENT,D11
H00864,1,1,1.87594122,OWN,D11
H00865,1,1,1.72131581,OWN,D11
H00868,1,1,1.26516458,OWN,D11
H00874,1,1,2.07680109,RENT,D11
H00887,1,1,2.65007877,RENT,D12
H00906,1,1,2.39752162,RENT,D12
H00911,1,1,2.17622025,OWN,D12
H00925,1,1,1.51092543,OWN,D12
H00931,1,1,1.59816680,OWN,D12
H00935,1,1,1.58693609,OWN,D12
H00944,1,1,1.72247329,OWN,D12
H00948,1,1,2.03571586,RENT,D12
H00958,1,1,1.89780064,OWN,D12
H00971,1,1,2.47084781,RENT,D13
H00997,1,1,2.63351856,RENT,D13
H01000,1,1,2.63617231,OWN,D13
H01007,1,1,2.26883463,RENT,D13
H01017,1,1,1.97699311,OWN,D13
H01021,1,1,1.96631665,OWN,D13
H01022,1,1,1.69216946,OWN,D13
H01030,1,1,2.11624256,RENT,D13
H01037,1,1,1.37426951,OWN,D13
H01042,1,1,2.21448785,OWN,D14
H01045,1,1,2.67467283,RENT,D14
H01060,1,1,2.34629310,OWN,D14
H01064,1,1,2.87513649,RENT,D14
H01072,1,1,2.61879261,RENT,D14
H01084,1,1,2.67600627,RENT,D14
H01087,1,1,2.91170035,RENT,D14
H01113,1,1,1.66766413,RENT,D14
H01114,1,1,2.03800778,RENT,D14
H01117,1,1,2.02955837,RENT,D14
H01118,1,1,1.66487408,RENT,D14
H01125,1,1,2.69966560,RENT,D15
