hh_id,listing_domain
H00000,L03
H00001,L09
H00002,L07
H00003,L05
H00004,L08
H00005,L04
H00006,L05
H00007,L08
H00008,L04
H00009,L08
H00010,L05
H00011,L07
H00012,L07
H00013,L04
H00014,L02
H00015,L01
H00016,L04
H00017,L08
H00018,L09
H00019,L02
H00020,L07
H00021,L01
H00022,L03
H00023,L05
H00024,L01
H00025,L10
H00026,L03
H00027,L04
H00028,L08
H00029,L03
H00030,L08
H00031,L05
H00032,L10
H00033,L04
H00034,L04
H00035,L07
H00036,L10
H00037,L08
H00038,L10
H00039,L04
H00040,L07
H00041,L01
H00042,L06
H00043,L05
H00044,L01
H00045,L05
H00046,L09
H00047,L08
H00048,L08
H00049,L02
H00050,L10
H00051,L07
H00052,L04
H00053,L05
H00054,L10
H00055,L04
H00056,L07
H00057,L04
H00058,L09
H00059,L04
H00060,L08
H00061,L03
H00062,L10
H00063,L01
H00064,L10
H00065,L05
H00066,L01
H00067,L02
H00068,L08
H00069,L09
H00070,L10
H00071,L10
H00072,L09
H00073,L03
H00074,L01
H00075,L09
H00076,L10
H00077,L10
H00078,L10
H00079,L05
H00080,L08
H00081,L08
H00082,L03
H00083,L10
H00084,L06
H00085,L10
H00086,L03
H00087,L01
H00088,L10
H00089,L02
H00090,L03
H00091,L05
H00092,L04
H00093,L01
H00094,L07
H00095,L03
H00096,L01
H00097,L06
H00098,L10
H00099,L02
H00100,L07
H00101,L08
H00102,L02
H00103,L02
H00104,L05
H00105,L09
H00106,L07
H00107,L04
H00108,L06
H00109,L03
H00110,L10
H00111,L09
H00112,L08
H00113,L07
H00114,L01
H00115,L02
H00116,L08
H00117,L03
H00118,L10
H00119,L09
H00120,L04
H00121,L06
H00122,L01
H00123,L02
H00124,L01
H00125,L06
H00126,L05
H00127,L03
H00128,L02
H00129,L06
H00130,L04
H00131,L06
H00132,L06
H00133,L09
H00134,L03
H00135,L03
H00136,L05
H00137,L09
H00138,L07
H00139,L08
H00140,L08
H00141,L03
H00142,L02
H00143,L02
H00144,L09
H00145,L06
H00146,L07
H00147,L06
H00148,L08
H00149,L10
H00150,L05
H00151,L02
H00152,L06
H00153,L05
H00154,L09
H00155,L06
H00156,L02
H00157,L09
H00158,L08
H00159,L07
H00160,L10
H00161,L03
H00162,L07
H00163,L02
H00164,L04
H00165,L07
H00166,L10
H00167,L09
H00168,L08
H00169,L06
H00170,L10
H00171,L07
H00172,L03
H00173,L06
H00174,L07
H00175,L03
H00176,L09
H00177,L07
H00178,L05
H00179,L02
H00180,L03
H00181,L01
H00182,L02
H00183,L03
H00184,L02
H00185,L01
H00186,L07
H00187,L01
H00188,L07
H00189,L02
H00190,L05
H00191,L07
H00192,L10
H00193,L02
H00194,L09
H00195,L03
H00196,L02
H00197,L05
H00198,L06
H00199,L08
H00200,L03
H00201,L07
H00202,L07
H00203,L09
H00204,L04
H00205,L05
H00206,L07
H00207,L02
H00208,L01
H00209,L07
H00210,L08
H00211,L02
H00212,L08
H00213,L04
H00214,L01
H00215,L05
H00216,L07
H00217,L03
H00218,L07
H00219,L01
H00220,L03
H00221,L09
H00222,L04
H00223,L09
H00224,L08
H00225,L05
H00226,L04
H00227,L05
H00228,L04
H00229,L06
H00230,L09
H00231,L05
H00232,L01
H00233,L01
H00234,L09
H00235,L05
H00236,L02
H00237,L08
H00238,L05
H00239,L10
H00240,L05
H00241,L06
H00242,L04
H00243,L05
H00244,L04
H00245,L05
H00246,L10
H00247,L01
H00248,L04
H00249,L08
H00250,L03
H00251,L04
H00252,L02
H00253,L07
H00254,L04
H00255,L06
H00256,L04
H00257,L01
H00258,L03
H00259,L08
H00260,L02
H00261,L08
H00262,L09
H00263,L10
H00264,L06
H00265,L03
H00266,L04
H00267,L09
H00268,L04
H00269,L05
H00270,L05
H00271,L08
H00272,L06
H00273,L05
H00274,L09
H00275,L03
H00276,L08
H00277,L02
H00278,L03
H00279,L03
H00280,L04
H00281,L09
H00282,L02
H00283,L05
H00284,L07
H00285,L10
H00286,L03
H00287,L04
H00288,L08
H00289,L05
H00290,L02
H00291,L01
H00292,L10
H00293,L01
H00294,L10
H00295,L06
H00296,L10
H00297,L07
H00298,L09
H00299,L08
