hh_id,stratum,psu,domain_id,region,urban,tenure,design_weight,responded,phase2,y,eligible_count
H00004,ST01,P02,D01,EAST,1,RENT,8.00000000,1,1,2.29865109,1
H00017,ST01,P01,D01,EAST,1,OWN,8.00000000,1,1,2.36011564,1
H00020,ST01,P02,D01,EAST,1,OWN,8.00000000,1,1,2.12202728,1
H00027,ST01,P01,D01,EAST,0,OWN,8.00000000,1,1,1.05482014,1
H00036,ST01,P02,D01,EAST,0,OWN,8.00000000,1,1,1.19982411,1
H00043,ST01,P01,D01,EAST,0,OWN,8.00000000,1,1,1.17941263,1
H00044,ST01,P02,D01,EAST,0,RENT,8.00000000,1,1,1.83156301,1
H00053,ST01,P01,D01,EAST,0,RENT,8.00000000,1,1,1.27844258,1
H00072,ST01,P02,D01,EAST,0,OWN,8.00000000,1,1,0.98084075,1
H00080,ST01,P02,D01,EAST,0,RENT,8.00000000,1,1,1.53265948,1
H00103,ST01,P01,D02,EAST,1,RENT,8.00000000,1,1,2.13549859,1
H00107,ST01,P01,D02,EAST,0,OWN,8.00000000,1,1,1.11665674,1
H00113,ST01,P01,D02,EAST,0,OWN,8.00000000,1,1,1.36813745,1
H00114,ST01,P02,D02,EAST,0,OWN,8.00000000,1,1,1.40154892,1
H00115,ST01,P01,D02,EAST,0,OWN,8.00000000,1,1,1.15591783,1
H00122,ST01,P02,D02,EAST,0,OWN,8.00000000,1,1,1.44281484,1
H00132,ST01,P02,D02,EAST,0,RENT,8.00000000,1,1,1.25454774,1
H00144,ST01,P02,D02,EAST,0,RENT,8.00000000,1,1,1.62244354,1
H00147,ST01,P01,D02,EAST,0,OWN,8.00000000,1,1,0.76599606,1
H00159,ST01,P01,D02,EAST,0,OWN,8.00000000,1,1,0.71753481,1
H00169,ST02,P03,D03,EAST,1,OWN,11.42857143,1,1,2.51089592,1
H00180,ST02,P04,D03,EAST,1,RENT,13.33333333,1,1,1.83197149,1
H00190,ST02,P04,D03,EAST,1,OWN,13.33333333,1,1,1.90831217,1
H00194,ST02,P04,D03,EAST,1,RENT,13.33333333,1,1,2.51807770,1
H00209,ST02,P03,D03,EAST,0,RENT,11.42857143,1,1,1.24227814,1
H00213,ST02,P03,D03,EAST,0,OWN,11.42857143,1,1,1.58985023,1
H00214,ST02,P04,D03,EAST,0,OWN,13.33333333,1,1,1.51510300,1
H00218,ST02,P04,D03,EAST,0,RENT,13.33333333,1,1,1.40364462,1
H00227,ST02,P03,D03,EAST,0,OWN,11.42857143,1,1,0.82982101,1
H00239,ST02,P03,D03,EAST,0,OWN,11.42857143,1,1,0.98766831,1
H00240,ST02,P04,D03,EAST,0,RENT,13.33333333,1,1,1.65015821,1
H00287,ST02,P03,D04,EAST,0,OWN,11.42857143,1,1,0.98974610,1
H00319,ST02,P03,D04,EAST,0,OWN,11.42857143,1,1,1.19149553,1
H00332,ST03,P06,D05,EAST,1,OWN,8.00000000,1,1,2.02795024,1
H00333,ST03,P05,D05,EAST,1,RENT,8.00000000,1,1,2.30354256,1
H00334,ST03,P06,D05,EAST,1,RENT,8.00000000,1,1,2.35094807,1
H00345,ST03,P05,D05,EAST,1,RENT,8.00000000,1,1,1.69458912,1
H00355,ST03,P05,D05,EAST,1,OWN,8.00000000,1,1,1.55775880,1
H00356,ST03,P06,D05,EAST,1,OWN,8.00000000,1,1,2.01967375,1
H00358,ST03,P06,D05,EAST,1,RENT,8.00000000,1,1,2.38811062,1
H00380,ST03,P06,D05,EAST,0,RENT,8.00000000,1,1,1.33517948,1
H00381,ST03,P05,D05,EAST,0,OWN,8.00000000,1,1,1.71743791,1
H00393,ST03,P05,D05,EAST,0,OWN,8.00000000,1,1,1.12312749,1
H00401,ST03,P05,D06,EAST,1,OWN,8.00000000,1,1,2.24218016,1
