domain_id,status,est_ate,est_se
D01,identified,0.439312,0.032958
D02,identified,0.276969,0.207953
D03,identified,0.399235,0.050953
D04,unidentified,,
D05,identified,0.690145,0.137476
D06,unidentified,,
D07,identified,0.111378,0.102105
D08,identified,1.008316,0.146301
D09,identified,0.642486,0.218933
D10,identified,0.524712,0.160506
D11,identified,0.037262,0.000344
D12,identified,0.450502,0.046477
D13,identified,0.685421,0.005300
D14,identified,0.118631,0.023036
D15,identified,0.758013,0.118490
D16,identified,0.809413,0.546529
D17,identified,0.225285,0.014079
D18,identified,0.026625,0.237033
D19,identified,-0.065849,0.492034
D20,identified,0.212809,0.322186
D21,identified,0.780197,0.189351
D22,identified,0.670148,0.221659
D23,identified,-0.413018,0.404503
D24,identified,0.836910,0.004639
D25,identified,0.332668,0.047578
D26,identified,0.345801,0.216829
D27,identified,-0.020184,0.220404
D28,identified,0.791068,0.161014
D29,identified,0.689333,0.194777
D30,identified,0.353258,0.003581
D31,identified,0.326772,0.219933
D32,identified,0.482408,0.020161
