domain_id,status,est_ate,est_se
D01,identified,0.729016,0.154052
D02,identified,0.586457,0.164134
D03,identified,0.069354,0.239396
D04,identified,0.093275,1.002134
D05,identified,0.188770,0.141681
D06,identified,0.317418,0.342521
D07,identified,0.621399,0.043474
D08,identified,1.076729,0.018653
D09,identified,-0.039065,0.417160
D10,identified,-0.237312,0.094609
D11,identified,1.295446,0.055662
D12,identified,0.363509,0.150638
D13,identified,1.155450,0.399166
D14,identified,0.166630,0.512077
D15,identified,-0.409339,0.299565
D16,identified,-0.628757,0.060243
D17,identified,0.893243,0.222951
D18,identified,-0.774990,0.448885
D19,identified,0.094858,0.762543
D20,identified,1.302383,0.118783
D21,identified,-0.563240,0.584969
D22,identified,0.129372,0.102576
D23,identified,0.418516,0.204585
D24,identified,0.218916,0.692843
D25,identified,-0.506053,0.134942
D26,identified,0.664867,0.237679
D27,identified,0.473617,1.264299
D28,identified,0.288437,0.208066
D29,identified,0.195751,0.831804
D30,identified,0.420712,0.866377
D31,identified,0.851855,1.088576
D32,identified,0.720068,0.300087
