hh_id,eligible_count
H00003,1
H00007,1
H00012,1
H00025,3
H00028,1
H00035,2
H00042,1
H00043,1
H00052,2
H00056,1
H00057,1
H00072,1
H00075,1
H00085,1
H00094,1
H00098,1
H00109,1
H00119,1
H00138,1
H00145,4
H00149,5
H00150,1
H00152,2
H00156,1
H00163,1
H00169,2
H00176,1
H00177,4
H00180,1
H00181,1
H00186,1
H00194,1
H00196,4
H00197,1
H00202,1
H00228,1
H00231,1
H00256,1
H00258,4
H00273,1
H00283,1
H00292,1
H00293,5
H00307,1
H00308,1
H00309,3
H00316,3
H00319,1
H00322,1
H00323,1
H00330,2
H00338,3
H00348,1
H00373,3
H00377,1
H00391,2
H00393,1
H00399,2
H00401,1
H00402,1
H00416,1
H00424,4
H00431,1
H00435,4
H00440,1
H00441,1
H00446,1
H00454,1
H00466,1
H00469,2
H00471,1
H00474,2
H00482,1
H00485,2
H00493,1
H00499,1
H00518,1
H00525,2
H00537,1
H00538,1
H00542,4
H00550,1
H00554,1
H00558,1
H00563,1
H00564,1
H00577,2
H00586,1
H00591,1
H00593,4
H00596,1
H00612,1
H00615,3
H00631,4
H00635,2
H00636,2
H00642,3
H00650,2
H00654,1
H00661,5
H00670,1
H00674,2
H00675,1
H00681,2
H00685,2
H00690,4
H00695,2
H00697,1
H00706,2
H00709,1
H00727,3
H00730,2
H00747,1
H00751,5
H00758,2
H00767,1
H00782,1
H00788,1
H00795,5
H00798,1
H00803,1
H00811,3
H00817,1
H00822,1
H00840,2
H00853,1
H00857,1
H00858,1
H00873,1
H00878,4
H00879,1
H00885,4
H00888,1
H00890,1
H00892,1
H00895,1
H00897,1
H00904,1
H00905,5
H00906,1
H00916,3
H00922,1
H00928,2
H00937,1
H00976,4
H00980,1
H00981,1
H00982,1
H00995,1
H00997,4
H01000,3
H01004,1
H01012,2
H01027,1
H01046,3
H01060,1
H01067,1
H01075,1
H01076,1
H01079,5
H01081,1
H01085,2
H01089,1
H01102,3
H01104,1
H01105,1
H01112,2
H01113,3
H01121,1
H01134,2
H01145,1
H01146,1
H01149,1
H01156,5
H01164,1
H01178,1
H01185,2
H01188,5
H01206,1
H01210,1
H01221,1
H01228,1
H01236,1
H01239,2
H01241,1
H01245,1
H01251,1
H01253,1
H01258,1
H01261,1
H01266,1
H01269,3
H01288,1
H01295,2
H01297,5
H01300,1
H01307,1
H01320,1
H01328,1
H01330,2
H01337,1
H01347,1
H01348,3
H01352,2
H01356,1
H01358,4
H01360,1
H01363,1
H01367,3
H01369,1
H01385,3
H01404,1
H01413,1
H01420,2
H01427,1
H01433,3
H01446,3
H01447,1
H01450,1
H01475,2
H01477,1
H01483,1
H01485,1
H01486,5
H01488,1
H01493,2
H01495,3
H01515,1
H01516,1
H01533,1
H01546,3
H01552,1
H01553,1
H01556,1
H01560,2
H01566,1
H01575,3
H01589,3
H01590,1
H01598,3
H01604,5
H01606,3
H01621,1
H01627,3
H01637,1
H01645,1
H01650,1
H01661,1
H01665,3
H01671,1
H01675,1
H01687,1
H01692,3
H01703,3
H01705,1
H01706,2
H01716,1
H01720,1
H01722,1
H01734,4
H01737,1
H01746,1
H01748,1
H01760,1
H01763,1
H01764,1
H01766,2
H01772,1
H01779,3
H01785,1
H01788,3
H01802,1
H01807,2
H01813,1
H01821,1
H01824,3
H01830,1
H01842,1
H01867,1
H01875,1
H01876,1
H01897,3
H01901,1
H01906,4
H01907,1
H01914,1
H01916,1
H01919,1
H01933,2
H01938,1
H01954,1
H01960,2
H01975,3
H01981,1
H01982,2
H01993,1
H02005,1
H02008,1
H02011,2
H02025,2
H02031,3
H02033,1
H02042,3
H02045,3
H02050,1
H02052,5
H02054,2
H02060,5
H02063,1
H02064,1
H02071,1
H02076,1
H02082,1
H02085,1
H02087,1
H02092,1
H02096,1
H02097,5
H02103,2
H02120,2
H02124,1
H02144,3
H02151,5
H02154,1
H02166,1
H02167,2
H02171,5
H02172,1
H02177,1
H02178,1
H02180,1
H02183,2
H02213,1
H02233,3
H02237,2
H02240,1
H02243,1
H02244,3
H02251,2
H02269,2
H02273,1
H02278,5
H02287,4
H02291,1
H02294,1
H02296,1
H02297,2
H02306,2
H02322,1
H02334,3
H02345,1
H02348,1
H02354,3
H02359,1
H02361,1
H02366,2
H02369,2
H02372,1
H02385,1
H02400,1
H02406,1
H02410,1
H02422,3
H02435,1
H02439,1
H02445,1
H02461,1
H02483,1
H02484,1
H02486,1
H02498,1
H02501,1
H02504,1
H02505,1
H02512,1
H02516,5
H02517,2
H02523,2
H02535,2
H02540,5
H02543,1
H02547,1
H02548,1
H02558,3
