hh_id,listing_domain
H00000,L01
H00001,L02
H00002,L07
H00003,L01
H00004,L07
H00005,L07
H00006,L08
H00007,L03
H00008,L07
H00009,L02
H00010,L01
H00011,L03
H00012,L01
H00013,L04
H00014,L05
H00015,L07
H00016,L03
H00017,L05
H00018,L03
H00019,L02
H00020,L06
H00021,L03
H00022,L05
H00023,L03
H00024,L04
H00025,L02
H00026,L02
H00027,L07
H00028,L03
H00029,L08
H00030,L07
H00031,L03
H00032,L02
H00033,L01
H00034,L04
H00035,L04
H00036,L05
H00037,L08
H00038,L04
H00039,L01
H00040,L03
H00041,L06
H00042,L02
H00043,L01
H00044,L01
H00045,L02
H00046,L02
H00047,L01
H00048,L06
H00049,L05
H00050,L01
H00051,L05
H00052,L06
H00053,L08
H00054,L02
H00055,L08
H00056,L01
H00057,L06
H00058,L05
H00059,L06
H00060,L03
H00061,L08
H00062,L03
H00063,L04
H00064,L01
H00065,L01
H00066,L08
H00067,L07
H00068,L06
H00069,L08
H00070,L04
H00071,L07
H00072,L01
H00073,L08
H00074,L06
H00075,L02
H00076,L07
H00077,L05
H00078,L03
H00079,L06
H00080,L05
H00081,L02
H00082,L02
H00083,L02
H00084,L04
H00085,L02
H00086,L06
H00087,L08
H00088,L07
H00089,L06
H00090,L05
H00091,L04
H00092,L07
H00093,L05
H00094,L03
H00095,L02
H00096,L04
H00097,L07
H00098,L08
H00099,L02
H00100,L06
H00101,L03
H00102,L02
H00103,L06
H00104,L07
H00105,L04
H00106,L06
H00107,L07
H00108,L08
H00109,L01
H00110,L08
H00111,L01
H00112,L01
H00113,L02
H00114,L02
H00115,L08
H00116,L05
H00117,L08
H00118,L01
H00119,L07
H00120,L05
H00121,L04
H00122,L06
H00123,L08
H00124,L04
H00125,L04
H00126,L07
H00127,L02
H00128,L07
H00129,L02
H00130,L07
H00131,L01
H00132,L07
H00133,L04
H00134,L08
H00135,L03
H00136,L01
H00137,L06
H00138,L07
H00139,L06
H00140,L08
H00141,L05
H00142,L04
H00143,L04
H00144,L03
H00145,L03
H00146,L07
H00147,L08
H00148,L05
H00149,L06
H00150,L07
H00151,L05
H00152,L07
H00153,L03
H00154,L03
H00155,L04
H00156,L05
H00157,L02
H00158,L03
H00159,L05
H00160,L06
H00161,L06
H00162,L03
H00163,L08
H00164,L08
H00165,L07
H00166,L07
H00167,L03
H00168,L04
H00169,L02
H00170,L07
H00171,L05
H00172,L02
H00173,L02
H00174,L08
H00175,L03
H00176,L07
H00177,L07
H00178,L01
H00179,L06
H00180,L04
H00181,L04
H00182,L07
H00183,L01
H00184,L02
H00185,L04
H00186,L03
H00187,L07
H00188,L02
H00189,L05
H00190,L03
H00191,L01
H00192,L08
H00193,L08
H00194,L05
H00195,L02
H00196,L01
H00197,L05
H00198,L07
H00199,L02
H00200,L07
H00201,L06
H00202,L01
H00203,L06
H00204,L04
H00205,L05
H00206,L01
H00207,L05
H00208,L04
H00209,L06
H00210,L01
H00211,L05
H00212,L01
H00213,L03
H00214,L06
H00215,L03
H00216,L07
H00217,L05
H00218,L03
H00219,L01
H00220,L02
H00221,L07
H00222,L06
H00223,L04
H00224,L05
H00225,L05
H00226,L06
H00227,L03
H00228,L07
H00229,L05
H00230,L04
H00231,L07
H00232,L02
H00233,L07
H00234,L07
H00235,L08
H00236,L04
H00237,L03
H00238,L08
H00239,L03
