hh_id,stratum,psu,domain_id,region,urban,tenure,design_weight,responded,phase2,y,eligible_count
H00004,ST01,P02,D01,EAST,1,RENT,8.00000000,1,1,2.29865109,1
H00005,ST01,P01,D01,EAST,1,OWN,8.00000000,1,1,1.97926283,1
H00007,ST01,P01,D01,EAST,1,RENT,8.00000000,1,1,2.26098553,1
H00013,ST01,P01,D01,EAST,1,OWN,8.00000000,1,1,1.93026204,1
H00014,ST01,P02,D01,EAST,1,OWN,8.00000000,1,1,2.20091425,1
H00015,ST01,P01,D01,EAST,1,OWN,8.00000000,1,1,2.13283821,1
H00030,ST01,P02,D01,EAST,0,OWN,8.00000000,1,1,1.03446769,1
H00038,ST01,P02,D01,EAST,0,OWN,8.00000000,1,1,1.09240045,1
H00039,ST01,P01,D01,EAST,0,RENT,8.00000000,1,1,1.47264665,1
H00046,ST01,P02,D01,EAST,0,RENT,8.00000000,1,1,1.22756564,1
H00051,ST01,P01,D01,EAST,0,OWN,8.00000000,1,1,1.15678822,1
H00079,ST01,P01,D01,EAST,0,OWN,8.00000000,1,1,1.51385781,1
H00087,ST01,P01,D02,EAST,1,RENT,8.00000000,1,1,2.26842037,1
H00099,ST01,P01,D02,EAST,1,OWN,8.00000000,1,1,2.00502068,1
H00116,ST01,P02,D02,EAST,0,OWN,8.00000000,1,1,0.97160022,1
H00123,ST01,P01,D02,EAST,0,OWN,8.00000000,1,1,0.83066494,1
H00130,ST01,P02,D02,EAST,0,OWN,8.00000000,1,1,1.28856636,1
H00131,ST01,P01,D02,EAST,0,OWN,8.00000000,1,1,1.34498852,1
H00136,ST01,P02,D02,EAST,0,RENT,8.00000000,1,1,1.44843089,1
H00137,ST01,P01,D02,EAST,0,OWN,8.00000000,1,1,1.22179413,1
H00144,ST01,P02,D02,EAST,0,RENT,8.00000000,1,1,1.62244354,1
H00148,ST01,P02,D02,EAST,0,OWN,8.00000000,1,1,1.41510241,1
H00154,ST01,P02,D02,EAST,0,RENT,8.00000000,1,1,1.40100047,1
H00156,ST01,P02,D02,EAST,0,OWN,8.00000000,1,1,1.04002270,1
H00163,ST02,P03,D03,EAST,1,RENT,8.00000000,1,1,2.32035356,1
H00165,ST02,P03,D03,EAST,1,RENT,8.00000000,1,1,2.44793571,1
H00172,ST02,P04,D03,EAST,1,RENT,8.00000000,1,1,2.09562013,1
H00173,ST02,P03,D03,EAST,1,OWN,8.00000000,1,1,1.89675402,1
H00177,ST02,P03,D03,EAST,1,OWN,8.00000000,1,1,1.82644620,1
H00178,ST02,P04,D03,EAST,1,RENT,8.00000000,1,1,2.18437145,1
H00189,ST02,P03,D03,EAST,1,RENT,8.00000000,1,1,1.94502139,1
H00193,ST02,P03,D03,EAST,1,RENT,8.00000000,1,1,2.58882244,1
H00198,ST02,P04,D03,EAST,0,OWN,8.00000000,1,1,1.39546014,1
H00200,ST02,P04,D03,EAST,0,RENT,8.00000000,1,1,1.27118366,1
H00202,ST02,P04,D03,EAST,0,OWN,8.00000000,1,1,1.27700144,1
H00211,ST02,P03,D03,EAST,0,OWN,8.00000000,1,1,0.78494795,1
H00214,ST02,P04,D03,EAST,0,OWN,8.00000000,1,1,1.51510300,1
H00219,ST02,P03,D03,EAST,0,OWN,8.00000000,1,1,1.25128267,1
H00231,ST02,P03,D03,EAST,0,RENT,8.00000000,1,1,1.46500410,1
H00232,ST02,P04,D03,EAST,0,OWN,8.00000000,1,1,0.99211961,1
H00235,ST02,P03,D03,EAST,0,RENT,8.00000000,1,1,1.78355140,1
H00236,ST02,P04,D03,EAST,0,OWN,8.00000000,1,1,1.05140235,1
H00238,ST02,P04,D03,EAST,0,RENT,8.00000000,1,1,1.13873055,1
H00242,ST02,P04,D04,EAST,1,OWN,8.00000000,1,1,1.89525350,1
H00267,ST02,P03,D04,EAST,1,RENT,8.00000000,1,1,2.29786036,1
H00270,ST02,P04,D04,EAST,1,RENT,8.00000000,1,1,2.39013434,1
H00274,ST02,P04,D04,EAST,1,OWN,8.00000000,1,1,2.51329195,1
H00295,ST02,P03,D04,EAST,0,OWN,8.00000000,1,1,1.30209805,1
H00323,ST03,P05,D05,EAST,1,RENT,8.00000000,1,1,2.23264456,1
H00329,ST03,P05,D05,EAST,1,RENT,8.00000000,1,1,2.09516506,1
H00330,ST03,P06,D05,EAST,1,RENT,8.00000000,1,1,2.19905477,1
H00332,ST03,P06,D05,EAST,1,OWN,8.00000000,1,1,2.02795024,1
H00339,ST03,P05,D05,EAST,1,OWN,8.00000000,1,1,2.21170574,1
