hh_id,listing_domain
H00000,L02
H00001,L01
H00002,L06
H00003,L01
H00004,L04
H00005,L06
H00006,L02
H00007,L05
H00008,L02
H00009,L07
H00010,L06
H00011,L05
H00012,L07
H00013,L08
H00014,L05
H00015,L06
H00016,L02
H00017,L06
H00018,L01
H00019,L07
H00020,L02
H00021,L06
H00022,L01
H00023,L06
H00024,L08
H00025,L04
H00026,L07
H00027,L04
H00028,L02
H00029,L08
H00030,L02
H00031,L04
H00032,L05
H00033,L07
H00034,L05
H00035,L08
H00036,L07
H00037,L08
H00038,L02
H00039,L01
H00040,L06
H00041,L01
H00042,L08
H00043,L05
H00044,L06
H00045,L05
H00046,L01
H00047,L02
H00048,L04
H00049,L07
H00050,L07
H00051,L03
H00052,L02
H00053,L02
H00054,L04
H00055,L04
H00056,L07
H00057,L08
H00058,L08
H00059,L08
H00060,L05
H00061,L08
H00062,L08
H00063,L04
H00064,L02
H00065,L08
H00066,L05
H00067,L08
H00068,L06
H00069,L02
H00070,L06
H00071,L08
H00072,L01
H00073,L01
H00074,L07
H00075,L05
H00076,L05
H00077,L06
H00078,L03
H00079,L02
H00080,L04
H00081,L07
H00082,L08
H00083,L07
H00084,L08
H00085,L08
H00086,L01
H00087,L01
H00088,L06
H00089,L07
H00090,L08
H00091,L05
H00092,L02
H00093,L07
H00094,L08
H00095,L04
H00096,L06
H00097,L05
H00098,L08
H00099,L07
H00100,L01
H00101,L05
H00102,L01
H00103,L07
H00104,L07
H00105,L02
H00106,L03
H00107,L04
H00108,L06
H00109,L05
H00110,L02
H00111,L06
H00112,L06
H00113,L05
H00114,L04
H00115,L02
H00116,L02
H00117,L03
H00118,L07
H00119,L07
H00120,L02
H00121,L08
H00122,L03
H00123,L05
H00124,L02
H00125,L06
H00126,L05
H00127,L08
H00128,L06
H00129,L02
H00130,L06
H00131,L04
H00132,L07
H00133,L08
H00134,L06
H00135,L02
H00136,L06
H00137,L07
H00138,L03
H00139,L03
H00140,L05
H00141,L06
H00142,L02
H00143,L04
H00144,L08
H00145,L04
H00146,L08
H00147,L04
H00148,L05
H00149,L06
H00150,L05
H00151,L07
H00152,L07
H00153,L07
H00154,L04
H00155,L04
H00156,L06
H00157,L02
H00158,L06
H00159,L02
