domain_id,status,est_ate,est_se
D01,identified,0.458707,0.258767
D02,identified,0.328217,0.562042
D03,identified,0.406429,0.068121
D04,identified,0.375451,0.585257
D05,identified,0.142998,0.170414
D06,identified,0.468971,0.062018
D07,identified,0.413111,0.010848
D08,identified,0.530696,0.128321
D09,identified,0.625203,0.029698
D10,identified,0.359314,0.584541
D11,identified,0.331622,0.264976
D12,identified,0.525711,0.030989
D13,identified,-0.152216,0.064366
D14,identified,0.600756,0.131168
D15,identified,0.369081,0.414250
D16,identified,0.413199,0.015804
D17,identified,0.265068,0.397543
D18,identified,0.053966,0.575523
D19,identified,0.159866,0.221178
D20,identified,0.604334,0.240595
D21,identified,-0.027690,0.062332
D22,identified,0.194259,0.290966
D23,identified,0.184533,0.350992
D24,identified,0.397657,0.188999
D25,identified,-0.034411,0.185961
D26,identified,0.036003,0.210634
D27,identified,1.542252,0.057805
D28,identified,0.701311,0.009224
D29,identified,0.510277,0.159774
D30,identified,0.247297,0.032795
D31,identified,0.290058,0.176221
D32,empty,,
