hh_id,listing_domain
H00000,L07
H00001,L04
H00002,L06
H00003,L05
H00004,L05
H00005,L07
H00006,L06
H00007,L04
H00008,L04
H00009,L06
H00010,L06
H00011,L01
H00012,L07
H00013,L03
H00014,L08
H00015,L08
H00016,L05
H00017,L06
H00018,L06
H00019,L01
H00020,L06
H00021,L03
H00022,L01
H00023,L05
H00024,L06
H00025,L04
H00026,L06
H00027,L04
H00028,L07
H00029,L03
H00030,L05
H00031,L03
H00032,L08
H00033,L06
H00034,L02
H00035,L08
H00036,L08
H00037,L06
H00038,L07
H00039,L02
H00040,L04
H00041,L04
H00042,L02
H00043,L06
H00044,L08
H00045,L02
H00046,L06
H00047,L03
H00048,L02
H00049,L03
H00050,L01
H00051,L05
H00052,L02
H00053,L05
H00054,L07
H00055,L07
H00056,L03
H00057,L02
H00058,L07
H00059,L04
H00060,L01
H00061,L05
H00062,L03
H00063,L02
H00064,L08
H00065,L08
H00066,L05
H00067,L08
H00068,L07
H00069,L03
H00070,L01
H00071,L06
H00072,L02
H00073,L03
H00074,L01
H00075,L06
H00076,L04
H00077,L05
H00078,L04
H00079,L08
H00080,L05
H00081,L04
H00082,L04
H00083,L03
H00084,L07
H00085,L01
H00086,L04
H00087,L04
H00088,L08
H00089,L01
H00090,L04
H00091,L03
H00092,L08
H00093,L03
H00094,L04
H00095,L05
H00096,L01
H00097,L04
H00098,L01
H00099,L08
H00100,L03
H00101,L06
H00102,L07
H00103,L07
H00104,L05
H00105,L01
H00106,L02
H00107,L08
H00108,L07
H00109,L08
H00110,L06
H00111,L03
H00112,L08
H00113,L01
H00114,L08
H00115,L08
H00116,L08
H00117,L07
H00118,L08
H00119,L02
H00120,L07
H00121,L08
H00122,L07
H00123,L02
H00124,L05
H00125,L03
H00126,L06
H00127,L03
H00128,L03
H00129,L08
H00130,L05
H00131,L04
H00132,L06
H00133,L06
H00134,L06
H00135,L01
H00136,L06
H00137,L01
H00138,L05
H00139,L05
H00140,L03
H00141,L06
H00142,L02
H00143,L03
H00144,L05
H00145,L04
H00146,L07
H00147,L01
H00148,L05
H00149,L05
H00150,L01
H00151,L03
H00152,L05
H00153,L08
H00154,L01
H00155,L08
H00156,L06
H00157,L07
H00158,L03
H00159,L01
H00160,L07
H00161,L05
H00162,L05
H00163,L06
H00164,L03
H00165,L05
H00166,L01
H00167,L06
H00168,L02
H00169,L01
