domain_id,status,est_ate,est_se
D01,identified,0.683079,0.103345
D02,identified,0.299235,0.158789
D03,identified,1.101174,0.404277
D04,identified,0.642732,0.316925
D05,identified,-0.089791,0.033177
D06,identified,0.341941,0.022826
D07,identified,0.530386,0.279433
D08,identified,0.225318,0.262712
D09,identified,1.113374,0.078385
D10,identified,-0.036523,0.055745
D11,identified,0.462945,0.070267
D12,identified,0.716298,0.015382
D13,identified,0.153865,0.629579
D14,identified,0.606736,0.016678
D15,identified,0.537564,0.468031
D16,identified,0.757019,0.197007
D17,identified,-0.027192,0.068235
D18,identified,-0.010246,0.187765
D19,identified,0.360829,0.332175
D20,identified,0.104065,0.444712
D21,identified,0.201213,0.140369
D22,identified,0.497362,0.619729
D23,identified,0.531564,0.061523
D24,identified,0.587116,0.211086
D25,identified,-0.100586,0.354006
D26,identified,-0.390166,0.144061
D27,identified,0.695513,0.230956
D28,identified,0.578202,0.133838
D29,identified,0.370078,0.343458
D30,identified,1.052467,0.273116
D31,identified,0.465161,0.549565
D32,identified,-0.166143,0.428055
