hh_id,responded,phase2,y,tenure,interview_domain
H00001,1,1,2.18854086,RENT,D01
H00007,1,0,,RENT,D01
H00017,1,0,,OWN,D01
H00018,1,1,2.28333050,RENT,D01
H00023,1,0,,OWN,D01
H00034,1,0,,RENT,D01
H00035,1,0,,RENT,D01
H00038,1,0,,OWN,D01
H00044,1,0,,RENT,D01
H00049,1,1,1.79946273,RENT,D01
H00056,1,0,,RENT,D01
H00064,1,0,,OWN,D01
H00069,1,1,1.27991807,OWN,D01
H00072,1,1,0.98084075,OWN,D01
H00074,1,1,1.75905935,OWN,D01
H00084,1,0,,RENT,D02
H00095,1,0,,OWN,D02
H00107,1,0,,OWN,D02
H00110,1,1,1.00442832,OWN,D02
H00117,1,0,,OWN,D02
H00119,1,1,1.45298718,OWN,D02
H00123,1,1,0.83066494,OWN,D02
H00136,1,1,1.44843089,RENT,D02
H00138,1,1,1.52028354,RENT,D02
H00151,1,0,,OWN,D02
H00153,1,0,,RENT,D02
H00154,1,1,1.40100047,RENT,D02
H00156,1,0,,OWN,D02
H00167,1,0,,OWN,D03
H00168,1,0,,OWN,D03
H00175,1,1,1.68146224,OWN,D03
H00180,1,0,,RENT,D03
H00182,1,0,,OWN,D03
H00189,1,0,,RENT,D03
H00190,1,0,,OWN,D03
H00197,1,0,,OWN,D03
H00204,1,1,1.36715223,OWN,D03
H00207,1,1,0.84821502,OWN,D03
H00217,1,1,1.51698266,RENT,D03
H00229,1,0,,OWN,D03
H00230,1,0,,RENT,D03
H00235,1,1,1.78355140,RENT,D03
H00236,1,1,1.05140235,OWN,D03
H00237,1,0,,OWN,D03
H00240,1,0,,RENT,D03
H00249,1,0,,RENT,D04
H00252,1,1,2.17966134,RENT,D04
H00257,1,1,2.52926830,RENT,D04
H00268,1,0,,RENT,D04
H00272,1,1,1.96130769,RENT,D04
H00276,1,0,,RENT,D04
H00295,1,1,1.30209805,OWN,D04
H00296,1,0,,OWN,D04
H00305,1,0,,RENT,D04
H00312,1,0,,RENT,D04
H00315,1,0,,RENT,D04
H00326,1,0,,OWN,D05
H00328,1,0,,OWN,D05
H00340,1,0,,OWN,D05
H00366,1,0,,RENT,D05
H00367,1,0,,OWN,D05
H00380,1,0,,RENT,D05
H00383,1,1,1.00849801,RENT,D05
H00385,1,0,,OWN,D05
H00390,1,0,,OWN,D05
H00401,1,0,,OWN,D06
H00407,1,0,,OWN,D06
H00411,1,1,1.58192737,OWN,D06
H00422,1,0,,RENT,D06
H00424,1,1,2.07848812,OWN,D06
H00428,1,0,,OWN,D06
H00430,1,0,,OWN,D06
H00433,1,0,,OWN,D06
H00436,1,1,2.14712655,OWN,D06
H00439,1,0,,RENT,D06
H00442,1,0,,OWN,D06
H00447,1,1,1.95752060,OWN,D06
H00451,1,0,,RENT,D06
H00456,1,0,,RENT,D06
H00463,1,0,,RENT,D06
H00465,1,0,,RENT,D06
H00471,1,0,,RENT,D06
H00477,1,1,0.99078587,OWN,D06
H00478,1,1,1.58291032,RENT,D06
H00495,1,0,,OWN,D07
H00502,1,0,,RENT,D07
H00503,1,1,2.24913038,RENT,D07
H00505,1,0,,RENT,D07
H00507,1,1,1.24865844,RENT,D07
H00516,1,1,1.75517240,RENT,D07
H00519,1,0,,RENT,D07
H00522,1,1,1.74721484,OWN,D07
H00530,1,0,,OWN,D07
H00532,1,0,,OWN,D07
H00535,1,0,,OWN,D07
H00537,1,0,,OWN,D07
H00538,1,0,,OWN,D07
H00545,1,1,1.55660067,OWN,D07
H00546,1,0,,RENT,D07
H00560,1,0,,RENT,D07
H00583,1,0,,OWN,D08
H00584,1,1,2.27071172,RENT,D08
H00585,1,0,,OWN,D08
H00588,1,0,,OWN,D08
H00594,1,0,,OWN,D08
H00604,1,0,,RENT,D08
H00605,1,1,1.61245465,RENT,D08
H00616,1,0,,OWN,D08
H00617,1,0,,RENT,D08
H00623,1,1,1.56091507,RENT,D08
H00625,1,1,1.67151544,RENT,D08
H00630,1,1,1.21686132,OWN,D08
H00644,1,1,2.65665825,RENT,D09
H00648,1,0,,RENT,D09
H00661,1,1,2.64762753,RENT,D09
H00662,1,1,2.65968168,RENT,D09
H00678,1,0,,RENT,D09
H00679,1,0,,OWN,D09
H00689,1,1,1.07178072,OWN,D09
H00695,1,0,,OWN,D09
H00697,1,1,1.84190487,OWN,D09
H00708,1,0,,RENT,D09
H00722,1,1,2.35271262,RENT,D10
H00724,1,0,,RENT,D10
H00728,1,0,,OWN,D10
H00730,1,0,,RENT,D10
H00731,1,0,,RENT,D10
H00734,1,1,2.49280156,RENT,D10
H00745,1,1,1.25288417,OWN,D10
H00748,1,0,,OWN,D10
H00753,1,0,,OWN,D10
H00758,1,1,1.37813191,OWN,D10
H00759,1,0,,OWN,D10
H00765,1,1,1.81097647,OWN,D10
H00772,1,0,,RENT,D10
H00773,1,1,2.00160668,RENT,D10
H00774,1,0,,RENT,D10
H00781,1,0,,OWN,D10
H00785,1,0,,OWN,D10
H00789,1,1,1.88676785,RENT,D10
H00807,1,0,,OWN,D11
H00812,1,1,2.58690630,OWN,D11
H00813,1,0,,RENT,D11
H00822,1,0,,OWN,D11
H00826,1,0,,OWN,D11
H00827,1,1,2.90062321,RENT,D11
H00832,1,1,2.89479617,RENT,D11
H00839,1,0,,OWN,D11
H00851,1,1,1.25256182,OWN,D11
H00852,1,1,1.87353016,OWN,D11
H00866,1,1,1.50670860,OWN,D11
H00869,1,1,1.91865704,RENT,D11
H00872,1,0,,OWN,D11
H00875,1,0,,OWN,D11
H00879,1,0,,OWN,D11
H00882,1,0,,RENT,D12
H00886,1,0,,OWN,D12
H00893,1,1,2.16442735,OWN,D12
H00897,1,1,3.05904870,RENT,D12
H00906,1,0,,RENT,D12
H00923,1,0,,OWN,D12
H00924,1,1,1.81382609,RENT,D12
H00927,1,0,,OWN,D12
H00932,1,1,1.98184996,RENT,D12
H00936,1,1,1.78062668,RENT,D12
H00937,1,0,,RENT,D12
H00944,1,0,,OWN,D12
H00959,1,1,1.57118878,OWN,D12
H00969,1,0,,OWN,D13
H00979,1,1,2.26207060,RENT,D13
H00993,1,1,2.10885989,OWN,D13
H01001,1,0,,OWN,D13
H01003,1,0,,RENT,D13
H01012,1,0,,OWN,D13
H01014,1,1,1.79120305,OWN,D13
H01016,1,1,1.61167712,RENT,D13
H01018,1,0,,RENT,D13
H01022,1,0,,OWN,D13
H01031,1,1,1.40439090,OWN,D13
H01032,1,0,,OWN,D13
H01034,1,0,,RENT,D13
H01040,1,0,,OWN,D13
H01048,1,0,,OWN,D14
H01055,1,1,2.36297629,OWN,D14
H01060,1,1,2.34629310,OWN,D14
H01061,1,0,,OWN,D14
H01063,1,1,1.92147350,OWN,D14
H01073,1,0,,RENT,D14
H01076,1,0,,RENT,D14
H01080,1,0,,OWN,D14
H01083,1,0,,RENT,D14
H01086,1,1,2.90733957,RENT,D14
H01088,1,1,3.05400795,RENT,D14
H01089,1,0,,OWN,D14
H01091,1,0,,OWN,D14
H01119,1,0,,OWN,D14
H01122,1,1,2.59547224,RENT,D15
H01132,1,0,,OWN,D15
H01142,1,0,,RENT,D15
H01145,1,0,,OWN,D15
H01158,1,1,1.52686553,OWN,D15
H01159,1,0,,RENT,D15
H01165,1,1,1.74139914,OWN,D15
H01167,1,0,,OWN,D15
H01176,1,1,2.22568619,RENT,D15
H01183,1,0,,RENT,D15
H01187,1,0,,RENT,D15
H01188,1,1,1.48483042,OWN,D15
H01193,1,1,1.25875993,OWN,D15
H01195,1,0,,OWN,D15
H01197,1,0,,RENT,D15
H01208,1,1,2.77996092,OWN,D16
H01214,1,0,,OWN,D16
H01215,1,1,2.33936806,OWN,D16
H01226,1,0,,OWN,D16
H01227,1,1,1.28566768,OWN,D16
H01232,1,0,,RENT,D16
H01240,1,0,,RENT,D16
H01243,1,1,1.08974044,OWN,D16
H01250,1,1,2.02942084,OWN,D16
H01252,1,1,1.62826654,OWN,D16
H01273,1,1,1.46912328,OWN,D16
H01274,1,0,,OWN,D16
H01277,1,1,2.24953325,RENT,D16
H01299,1,0,,RENT,D17
H01303,1,0,,RENT,D17
H01320,1,0,,RENT,D17
H01325,1,0,,OWN,D17
H01329,1,1,1.38355990,OWN,D17
H01330,1,1,1.69784591,OWN,D17
H01331,1,1,2.34404445,RENT,D17
H01335,1,1,2.54909514,RENT,D17
H01338,1,0,,OWN,D17
H01346,1,0,,OWN,D17
H01352,1,1,1.98257799,OWN,D17
H01353,1,1,2.26411550,RENT,D17
H01356,1,0,,OWN,D17
H01372,1,0,,OWN,D18
H01373,1,1,2.81491303,OWN,D18
H01382,1,1,3.19149798,OWN,D18
H01392,1,0,,OWN,D18
H01394,1,1,2.42367505,OWN,D18
H01397,1,1,2.00908171,OWN,D18
H01405,1,0,,OWN,D18
H01411,1,0,,RENT,D18
H01413,1,0,,RENT,D18
H01419,1,1,2.05077149,RENT,D18
H01422,1,0,,OWN,D18
H01426,1,0,,RENT,D18
H01428,1,1,1.64807306,OWN,D18
H01437,1,0,,RENT,D18
H01440,1,0,,OWN,D18
H01459,1,1,3.52925276,OWN,D19
H01461,1,1,2.75447432,OWN,D19
H01465,1,0,,RENT,D19
H01467,1,1,3.31450961,OWN,D19
H01471,1,0,,OWN,D19
H01474,1,0,,RENT,D19
H01478,1,0,,OWN,D19
H01493,1,0,,RENT,D19
H01509,1,0,,OWN,D19
H01514,1,0,,OWN,D19
H01518,1,1,1.78082534,OWN,D19
H01526,1,0,,OWN,D20
H01530,1,0,,RENT,D20
H01547,1,0,,OWN,D20
H01551,1,0,,RENT,D20
H01552,1,0,,OWN,D20
H01554,1,0,,RENT,D20
H01561,1,1,2.06007833,OWN,D20
H01565,1,1,1.90985419,OWN,D20
H01570,1,0,,OWN,D20
H01576,1,0,,OWN,D20
H01582,1,0,,OWN,D20
H01583,1,1,1.99591788,OWN,D20
H01584,1,0,,RENT,D20
H01588,1,0,,OWN,D20
H01590,1,0,,OWN,D20
H01595,1,0,,OWN,D20
H01597,1,0,,RENT,D20
H01602,1,0,,RENT,D21
H01606,1,1,3.42708629,RENT,D21
H01609,1,0,,OWN,D21
H01610,1,0,,OWN,D21
H01619,1,1,2.29791602,OWN,D21
H01632,1,1,2.30277244,OWN,D21
H01646,1,0,,OWN,D21
H01648,1,1,2.67739318,OWN,D21
H01649,1,1,1.84591926,RENT,D21
H01650,1,0,,OWN,D21
H01653,1,0,,OWN,D21
H01654,1,1,2.51002363,OWN,D21
H01655,1,0,,RENT,D21
H01658,1,0,,RENT,D21
H01691,1,0,,RENT,D22
H01705,1,0,,RENT,D22
H01709,1,0,,RENT,D22
