domain_id,status,est_ate,est_se
D01,identified,0.438828,0.288559
D02,identified,0.206558,0.080037
D03,identified,0.368002,0.083347
D04,unidentified,,
D05,unidentified,,
D06,identified,0.644209,0.023899
D07,identified,0.174230,0.086486
D08,identified,0.755275,0.149288
D09,identified,0.443326,0.381199
D10,identified,0.756684,0.115177
D11,identified,0.865692,0.021724
D12,identified,0.329876,0.620958
D13,identified,-0.173007,0.332675
D14,identified,0.194302,0.317903
D15,identified,0.377130,0.188098
D16,identified,0.167693,0.760032
D17,identified,0.697757,0.202956
D18,identified,0.969491,0.213991
D19,identified,1.418587,0.000000
D20,identified,-0.118144,0.000000
D21,identified,-0.429373,0.323610
D22,identified,0.689320,0.081671
D23,identified,0.533284,0.240791
D24,unidentified,,
D25,identified,-0.421021,0.437938
D26,identified,0.275057,0.000000
D27,identified,0.167848,0.536806
D28,identified,1.162630,0.448640
D29,identified,0.800450,0.127816
D30,identified,0.961326,0.456424
D31,identified,0.911889,0.010911
D32,unidentified,,
