domain_id,status,est_ate,est_se
D01,identified,0.957218,0.457862
D02,identified,-0.155510,0.481051
D03,identified,1.191676,0.471742
D04,unidentified,,
D05,identified,0.795625,0.458843
D06,unidentified,,
D07,identified,0.559140,0.000000
D08,unidentified,,
D09,identified,1.408234,0.494159
D10,unidentified,,
D11,identified,0.788004,0.574940
D12,identified,-0.153111,0.237663
D13,identified,2.193779,0.257658
D14,identified,1.102082,0.488276
D15,identified,0.188512,0.537353
D16,identified,1.727886,0.083040
D17,identified,0.714686,0.543767
D18,identified,0.035841,0.000000
D19,identified,-0.329806,0.897638
D20,identified,1.728903,0.040717
D21,unidentified,,
D22,identified,0.156848,0.533657
D23,identified,2.348359,0.177038
D24,unidentified,,
D25,identified,0.788120,0.170328
D26,unidentified,,
D27,identified,1.214878,0.094937
D28,identified,1.453468,0.486204
D29,identified,-1.758348,0.088091
D30,empty,,
D31,identified,-0.041112,0.875058
D32,empty,,
