hh_id,listing_domain
H00000,L07
H00001,L03
H00002,L03
H00003,L02
H00004,L07
H00005,L08
H00006,L09
H00007,L01
H00008,L09
H00009,L03
H00010,L05
H00011,L01
H00012,L09
H00013,L06
H00014,L05
H00015,L05
H00016,L04
H00017,L08
H00018,L03
H00019,L04
H00020,L06
H00021,L08
H00022,L05
H00023,L08
H00024,L09
H00025,L09
H00026,L07
H00027,L07
H00028,L03
H00029,L09
H00030,L02
H00031,L09
H00032,L09
H00033,L03
H00034,L08
H00035,L01
H00036,L07
H00037,L04
H00038,L01
H00039,L05
H00040,L09
H00041,L03
H00042,L03
H00043,L02
H00044,L05
H00045,L08
H00046,L04
H00047,L04
H00048,L09
H00049,L07
H00050,L04
H00051,L01
H00052,L01
H00053,L09
H00054,L05
H00055,L06
H00056,L07
H00057,L05
H00058,L01
H00059,L09
H00060,L08
H00061,L09
H00062,L05
H00063,L06
H00064,L02
H00065,L08
H00066,L06
H00067,L07
H00068,L05
H00069,L03
H00070,L03
H00071,L08
H00072,L09
H00073,L04
H00074,L06
H00075,L02
H00076,L01
H00077,L09
H00078,L07
H00079,L03
H00080,L05
H00081,L07
H00082,L05
H00083,L04
H00084,L01
H00085,L04
H00086,L03
H00087,L07
H00088,L02
H00089,L01
H00090,L09
H00091,L05
H00092,L05
H00093,L08
H00094,L04
H00095,L02
H00096,L07
H00097,L04
H00098,L09
H00099,L05
H00100,L08
H00101,L02
H00102,L02
H00103,L06
H00104,L02
H00105,L05
H00106,L09
H00107,L05
H00108,L08
H00109,L07
H00110,L06
H00111,L06
H00112,L04
H00113,L03
H00114,L06
H00115,L03
H00116,L01
H00117,L07
H00118,L01
H00119,L03
H00120,L04
H00121,L03
H00122,L06
H00123,L02
H00124,L03
H00125,L03
H00126,L02
H00127,L03
H00128,L05
H00129,L05
H00130,L09
H00131,L09
H00132,L03
H00133,L03
H00134,L02
H00135,L09
H00136,L08
H00137,L02
H00138,L06
H00139,L07
H00140,L01
H00141,L09
H00142,L03
H00143,L07
H00144,L02
H00145,L03
H00146,L07
H00147,L06
H00148,L07
H00149,L09
H00150,L01
H00151,L05
H00152,L04
H00153,L03
H00154,L05
H00155,L04
H00156,L03
H00157,L02
H00158,L05
H00159,L01
H00160,L06
H00161,L03
H00162,L06
H00163,L01
H00164,L01
H00165,L05
H00166,L08
H00167,L03
H00168,L06
H00169,L05
H00170,L07
H00171,L06
H00172,L01
H00173,L09
H00174,L08
H00175,L07
H00176,L02
H00177,L04
H00178,L03
H00179,L02
H00180,L02
H00181,L02
H00182,L06
H00183,L08
H00184,L04
H00185,L03
H00186,L02
H00187,L04
H00188,L04
H00189,L01
H00190,L05
H00191,L08
H00192,L07
H00193,L01
H00194,L07
H00195,L01
H00196,L05
H00197,L09
H00198,L03
H00199,L02
H00200,L06
H00201,L03
H00202,L08
H00203,L07
H00204,L09
H00205,L03
H00206,L02
H00207,L04
H00208,L04
H00209,L01
