hh_id,eligible_count
H00010,1
H00040,1
H00041,1
H00043,1
H00059,3
H00072,1
H00093,1
H00122,1
H00140,1
H00183,1
H00187,1
H00203,4
H00210,1
H00228,1
H00295,1
H00319,1
H00336,1
H00354,1
H00364,1
H00371,5
H00380,1
H00383,1
H00384,1
H00389,1
H00396,1
H00415,3
H00489,1
H00495,2
H00503,1
H00529,2
H00557,1
H00562,1
H00564,1
H00645,3
H00646,1
H00656,1
H00670,1
H00678,3
H00690,4
H00746,4
H00759,1
H00761,1
H00766,2
H00798,1
H00815,1
H00845,1
H00849,1
H00852,3
H00884,4
H00891,3
H00931,3
H00960,3
H00978,1
H01003,1
H01014,1
H01035,5
H01054,1
H01055,5
H01067,1
H01068,1
H01078,2
H01081,1
H01117,1
H01121,1
H01134,2
H01135,1
H01174,1
H01175,2
H01176,1
H01188,5
H01190,3
H01191,1
H01223,1
H01231,3
H01237,1
H01244,2
H01284,1
H01293,1
H01315,4
H01319,1
H01325,1
H01327,1
H01328,1
H01334,2
H01337,1
H01360,1
H01384,1
H01394,5
H01398,1
H01403,5
H01425,1
H01449,1
H01461,2
H01474,1
H01523,1
H01544,5
H01556,1
H01582,1
H01592,2
H01593,1
H01597,5
H01600,2
H01629,3
H01697,3
H01715,3
H01716,1
H01726,1
H01738,1
H01747,1
H01750,1
H01757,1
H01763,1
H01776,1
H01807,2
H01865,1
H01885,1
H01889,1
H01890,1
H01896,1
H01915,1
H01926,1
H01929,1
H01931,1
H01950,1
H01968,1
H01982,2
H01988,2
H01995,1
H02009,3
H02016,1
H02047,2
H02087,1
H02093,1
H02112,2
H02118,2
H02123,1
H02125,1
H02142,1
H02188,3
H02224,1
H02233,3
H02236,1
H02245,1
H02248,1
H02256,1
H02305,1
H02323,2
H02343,3
H02370,1
H02398,4
H02408,3
H02420,1
H02428,1
H02435,1
H02445,1
H02451,4
H02452,2
H02455,4
H02469,1
