hh_id,responded,phase2,y,tenure,interview_domain
H00010,1,1,,OWN,D01
H00034,1,0,,RENT,EAST
H00040,1,1,1.56373189,RENT,EAST
H00041,1,1,1.33798332,OWN,EAST
H00043,1,1,1.17941263,OWN,EAST
H00059,1,1,1.52572279,OWN,EAST
H00072,1,1,0.98084075,OWN,EAST
H00093,1,1,1.76457552,OWN,D02
H00122,1,1,1.44281484,OWN,EAST
H00139,1,0,,RENT,EAST
H00140,1,1,0.80241344,OWN,EAST
H00183,1,1,1.79307200,OWN,D03
H00187,1,1,,RENT,D03
H00199,1,0,,OWN,EAST
H00203,1,1,2.01490735,RENT,EAST
H00210,1,1,1.20227509,OWN,EAST
H00222,1,0,,OWN,EAST
H00228,1,1,2.01755339,RENT,EAST
H00295,1,1,1.30209805,OWN,EAST
H00319,1,1,1.19149553,OWN,EAST
H00336,1,1,2.14817009,RENT,D05
H00353,1,0,,OWN,D05
H00354,1,1,2.79305217,RENT,D05
H00357,1,0,,RENT,D05
H00364,1,1,1.67789485,OWN,D05
H00371,1,1,1.86594422,RENT,EAST
H00380,1,1,,RENT,EAST
H00383,1,1,1.00849801,RENT,EAST
H00384,1,1,,RENT,EAST
H00389,1,1,1.47402631,RENT,EAST
H00396,1,1,1.29384141,OWN,EAST
H00415,1,1,2.57801079,RENT,D06
H00427,1,0,,OWN,D06
H00468,1,0,,RENT,EAST
H00489,1,1,2.06933582,OWN,D07
H00495,1,1,1.76502731,OWN,D07
H00503,1,1,2.24913038,RENT,D07
H00508,1,0,,RENT,EAST
H00529,1,1,1.46817642,RENT,EAST
H00557,1,1,1.38153611,OWN,EAST
H00562,1,1,2.56707706,RENT,D08
H00564,1,1,2.48754477,RENT,D08
H00599,1,0,,OWN,EAST
H00610,1,0,,OWN,EAST
H00645,1,1,2.92093980,RENT,D09
H00646,1,1,2.34106884,OWN,D09
H00656,1,1,2.31453034,OWN,D09
H00659,1,0,,RENT,D09
H00670,1,1,,RENT,NORTH
H00678,1,1,1.92521031,RENT,NORTH
H00690,1,1,1.70658903,OWN,NORTH
H00739,1,0,,RENT,D10
H00746,1,1,,RENT,NORTH
H00759,1,1,1.83358154,OWN,NORTH
H00761,1,1,1.91623659,OWN,NORTH
H00766,1,1,,RENT,NORTH
H00787,1,0,,OWN,NORTH
H00798,1,1,1.86582650,OWN,NORTH
H00815,1,1,2.27492435,OWN,D11
H00824,1,0,,RENT,D11
H00845,1,1,1.67878504,OWN,NORTH
H00849,1,1,,RENT,NORTH
H00852,1,1,1.87353016,OWN,NORTH
H00871,1,0,,OWN,NORTH
H00884,1,1,2.79324056,RENT,D12
H00891,1,1,2.76274799,RENT,D12
H00931,1,1,1.59816680,OWN,NORTH
H00960,1,1,1.83111069,RENT,NORTH
H00978,1,1,2.93503686,RENT,D13
H01003,1,1,,RENT,D13
H01014,1,1,1.79120305,OWN,NORTH
H01035,1,1,1.94390375,RENT,NORTH
H01054,1,1,1.97061193,OWN,D14
H01055,1,1,2.36297629,OWN,D14
H01067,1,1,3.46553851,RENT,D14
H01068,1,1,2.43098598,OWN,D14
H01070,1,0,,OWN,D14
H01078,1,1,,OWN,D14
H01081,1,1,2.39737289,RENT,D14
H01111,1,0,,OWN,NORTH
H01117,1,1,2.02955837,RENT,NORTH
H01121,1,1,2.48423408,OWN,D15
H01134,1,1,2.28628410,OWN,D15
H01135,1,1,2.14419549,OWN,D15
H01174,1,1,,RENT,NORTH
H01175,1,1,1.96243803,RENT,NORTH
H01176,1,1,2.22568619,RENT,NORTH
H01182,1,0,,RENT,NORTH
H01188,1,1,1.48483042,OWN,NORTH
H01190,1,1,2.12062557,RENT,NORTH
H01191,1,1,1.96758895,RENT,NORTH
H01223,1,1,2.84653334,OWN,D16
H01231,1,1,1.31552133,OWN,NORTH
H01237,1,1,1.92334802,RENT,NORTH
H01244,1,1,1.98817521,OWN,NORTH
H01269,1,0,,RENT,NORTH
H01280,1,0,,OWN,NORTH
H01284,1,1,2.88799955,RENT,D17
H01293,1,1,3.04232241,RENT,D17
H01315,1,1,2.41026980,RENT,SOUTH
H01319,1,1,2.41041452,RENT,SOUTH
H01325,1,1,1.79241496,OWN,SOUTH
H01327,1,1,,RENT,SOUTH
H01328,1,1,2.09834815,RENT,SOUTH
H01334,1,1,1.57162484,OWN,SOUTH
H01337,1,1,,RENT,SOUTH
H01360,1,1,2.14874373,OWN,SOUTH
H01384,1,1,,OWN,D18
H01394,1,1,2.42367505,OWN,SOUTH
H01398,1,1,1.51226218,OWN,SOUTH
H01403,1,1,,RENT,SOUTH
H01425,1,1,2.70714445,OWN,SOUTH
H01449,1,1,2.60468118,RENT,D19
H01461,1,1,2.75447432,OWN,D19
H01474,1,1,3.17251329,RENT,D19
H01482,1,0,,OWN,SOUTH
H01523,1,1,,RENT,D20
H01544,1,1,3.27808552,OWN,D20
H01556,1,1,,RENT,D20
H01582,1,1,2.12235155,OWN,SOUTH
H01592,1,1,2.06633876,OWN,SOUTH
H01593,1,1,1.90369190,RENT,SOUTH
H01597,1,1,,RENT,SOUTH
H01600,1,1,2.61231737,RENT,SOUTH
H01611,1,0,,OWN,D21
H01629,1,1,3.07354480,OWN,D21
H01630,1,0,,OWN,D21
