hh_id,responded,phase2,y,tenure,assigned,interview_domain
H00035,1,1,1.48337431,RENT,0,D01
H00063,1,1,0.92481145,OWN,0,D01
H00075,1,1,0.72490399,OWN,0,D01
H00082,1,1,2.20561943,RENT,1,D02
H00103,1,1,2.13549859,RENT,1,D02
H00109,1,1,1.15573431,OWN,1,D02
H00112,1,1,1.06577395,OWN,0,D02
H00113,1,1,1.36813745,OWN,0,D02
H00114,1,1,1.40154892,OWN,0,D02
H00132,1,1,1.25454774,RENT,0,D02
H00136,1,1,1.44843089,RENT,1,D02
H00152,1,1,1.01419290,RENT,1,D02
H00197,1,1,0.84205869,OWN,1,D03
H00202,1,1,1.27700144,OWN,1,D03
H00222,1,1,1.16654965,OWN,0,D03
H00255,1,1,1.50487792,OWN,1,D04
H00258,1,1,2.71633123,RENT,1,D04
H00261,1,1,2.13859635,RENT,1,D04
H00264,1,1,2.06511529,RENT,1,D04
H00265,1,1,1.77580231,OWN,1,D04
H00287,1,1,0.98974610,OWN,0,D04
H00306,1,1,1.27135815,OWN,0,D04
H00310,1,1,1.18437825,OWN,0,D04
H00311,1,1,1.19343513,OWN,0,D04
H00322,1,1,2.28297902,RENT,1,D05
H00331,1,1,2.31338048,OWN,1,D05
H00341,1,1,2.15228652,RENT,1,D05
H00365,1,1,2.59818566,RENT,1,D05
H00372,1,1,1.65212979,RENT,1,D05
H00376,1,1,1.41091346,OWN,0,D05
H00413,1,1,2.03337222,OWN,1,D06
H00425,1,1,2.05011480,OWN,1,D06
H00435,1,1,2.40451808,RENT,1,D06
H00492,1,1,2.15647298,RENT,1,D07
H00507,1,1,1.24865844,RENT,0,D07
H00516,1,1,1.75517240,RENT,0,D07
H00524,1,1,1.02997959,OWN,1,D07
H00529,1,1,1.46817642,RENT,0,D07
H00531,1,1,1.30635671,OWN,0,D07
H00541,1,1,0.81957657,OWN,0,D07
H00550,1,1,1.08630486,OWN,1,D07
H00560,1,1,1.29812640,RENT,1,D07
H00563,1,1,2.17455737,RENT,1,D08
H00571,1,1,1.66137153,OWN,1,D08
H00612,1,1,1.89348380,RENT,0,D08
H00693,1,1,1.71453816,OWN,1,D09
H00706,1,1,1.84090484,RENT,0,D09
H00712,1,1,1.61615908,RENT,1,D09
H00714,1,1,2.03822762,RENT,0,D09
H00717,1,1,1.61790598,OWN,0,D09
H00720,1,1,1.63460757,OWN,1,D09
H00736,1,1,2.52035247,RENT,1,D10
H00741,1,1,2.11912332,RENT,0,D10
H00757,1,1,1.59962896,OWN,0,D10
H00759,1,1,1.83358154,OWN,0,D10
H00797,1,1,1.61148235,OWN,0,D10
H00798,1,1,1.86582650,OWN,0,D10
H00819,1,1,2.61901862,OWN,1,D11
H00845,1,1,1.67878504,OWN,0,D11
H00857,1,1,1.82983124,OWN,0,D11
H00885,1,1,2.94544689,RENT,1,D12
H00905,1,1,2.52876849,RENT,1,D12
H00907,1,1,2.34784998,OWN,0,D12
H00928,1,1,1.54698516,OWN,0,D12
H00946,1,1,1.47513245,OWN,0,D12
H00950,1,1,1.97931367,OWN,0,D12
H00960,1,1,1.83111069,RENT,0,D12
H00971,1,1,2.47084781,RENT,0,D13
H00978,1,1,2.93503686,RENT,1,D13
H00983,1,1,2.55350797,RENT,1,D13
H00995,1,1,2.36599089,OWN,1,D13
H01005,1,1,2.28949305,OWN,1,D13
H01040,1,1,1.22060934,OWN,0,D13
H01045,1,1,2.67467283,RENT,1,D14
H01046,1,1,2.81653624,RENT,0,D14
H01060,1,1,2.34629310,OWN,1,D14
H01100,1,1,1.91892101,RENT,1,D14
H01109,1,1,1.79630943,RENT,0,D14
H01116,1,1,1.53786728,OWN,0,D14
H01138,1,1,2.65181817,RENT,1,D15
H01149,1,1,1.67021033,RENT,0,D15
H01156,1,1,1.41423328,OWN,0,D15
H01159,1,1,2.14993504,RENT,0,D15
H01186,1,1,1.87666850,RENT,0,D15
H01192,1,1,2.12298661,RENT,1,D15
H01233,1,1,1.43922240,RENT,0,D16
H01245,1,1,1.44016580,OWN,0,D16
H01271,1,1,1.97294982,RENT,0,D16
H01290,1,1,2.22793398,OWN,1,D17
H01320,1,1,2.57423831,RENT,0,D17
H01328,1,1,2.09834815,RENT,1,D17
H01330,1,1,1.69784591,OWN,1,D17
H01339,1,1,2.38600459,RENT,0,D17
H01368,1,1,2.91792830,OWN,1,D18
H01371,1,1,2.38559135,OWN,1,D18
H01373,1,1,2.81491303,OWN,1,D18
H01380,1,1,2.79189775,OWN,1,D18
H01397,1,1,2.00908171,OWN,0,D18
H01417,1,1,2.09197549,OWN,0,D18
H01437,1,1,1.89498533,RENT,0,D18
H01449,1,1,2.60468118,RENT,1,D19
H01473,1,1,3.26817789,RENT,1,D19
H01478,1,1,1.83913238,OWN,0,D19
H01485,1,1,2.49635345,OWN,0,D19
H01489,1,1,2.28861111,OWN,1,D19
H01491,1,1,2.14754978,OWN,1,D19
H01509,1,1,1.73430322,OWN,0,D19
H01548,1,1,3.29997189,RENT,1,D20
H01550,1,1,2.88359148,OWN,0,D20
H01582,1,1,2.12235155,OWN,0,D20
H01588,1,1,2.00895274,OWN,0,D20
H01598,1,1,2.57015673,RENT,1,D20
H01629,1,1,3.07354480,OWN,1,D21
H01664,1,1,2.38096999,RENT,0,D21
H01671,1,1,2.37072325,RENT,0,D21
H01719,1,1,3.50654590,RENT,1,D22
H01727,1,1,2.90493503,OWN,0,D22
H01728,1,1,3.11485921,RENT,0,D22
H01729,1,1,1.84977630,OWN,0,D22
H01736,1,1,2.04078252,RENT,1,D22
H01749,1,1,1.70266301,OWN,0,D22
H01758,1,1,1.70525887,OWN,0,D22
H01769,1,1,2.43599848,OWN,1,D23
H01796,1,1,2.13699419,OWN,0,D23
H01806,1,1,2.20535260,OWN,0,D23
H01835,1,1,1.77861660,OWN,0,D23
H01844,1,1,2.90738372,RENT,1,D24
H01845,1,1,2.74991177,OWN,1,D24
H01847,1,1,3.08835084,OWN,1,D24
H01860,1,1,2.44586096,OWN,1,D24
H01876,1,1,2.10974835,RENT,0,D24
H01904,1,1,1.79033357,OWN,0,D24
H01905,1,1,2.31066390,RENT,1,D24
H01907,1,1,1.88370037,OWN,0,D24
