hh_id,listing_domain
H00000,L07
H00001,L06
H00002,L01
H00003,L07
H00004,L03
H00005,L04
H00006,L06
H00007,L02
H00008,L01
H00009,L02
H00010,L07
H00011,L03
H00012,L06
H00013,L06
H00014,L01
H00015,L03
H00016,L01
H00017,L01
H00018,L07
H00019,L03
H00020,L04
H00021,L07
H00022,L03
H00023,L01
H00024,L05
H00025,L02
H00026,L05
H00027,L02
H00028,L02
H00029,L02
H00030,L02
H00031,L02
H00032,L03
H00033,L07
H00034,L04
H00035,L01
H00036,L06
H00037,L07
H00038,L01
H00039,L05
H00040,L03
H00041,L04
H00042,L07
H00043,L07
H00044,L05
H00045,L07
H00046,L03
H00047,L01
H00048,L02
H00049,L01
H00050,L03
H00051,L04
H00052,L06
H00053,L03
H00054,L07
H00055,L06
H00056,L04
H00057,L04
H00058,L02
H00059,L02
H00060,L02
H00061,L03
H00062,L02
H00063,L01
H00064,L01
H00065,L05
H00066,L06
H00067,L02
H00068,L02
H00069,L04
H00070,L05
H00071,L06
H00072,L02
H00073,L06
H00074,L07
H00075,L01
H00076,L06
H00077,L01
H00078,L06
H00079,L01
H00080,L07
H00081,L03
H00082,L05
H00083,L05
H00084,L05
H00085,L03
H00086,L05
H00087,L07
H00088,L06
H00089,L06
H00090,L05
H00091,L02
H00092,L07
H00093,L06
H00094,L06
H00095,L06
H00096,L06
H00097,L05
H00098,L03
H00099,L04
H00100,L01
H00101,L06
H00102,L05
H00103,L01
H00104,L05
H00105,L07
H00106,L01
H00107,L04
H00108,L02
H00109,L02
H00110,L02
H00111,L02
H00112,L06
H00113,L05
H00114,L04
H00115,L07
H00116,L02
H00117,L06
H00118,L06
H00119,L05
H00120,L03
H00121,L02
H00122,L04
H00123,L06
H00124,L04
H00125,L03
H00126,L04
H00127,L03
H00128,L07
H00129,L03
H00130,L05
H00131,L06
H00132,L04
H00133,L03
H00134,L02
H00135,L04
H00136,L05
H00137,L05
H00138,L03
H00139,L01
H00140,L01
H00141,L04
H00142,L04
H00143,L01
H00144,L02
H00145,L03
H00146,L05
H00147,L04
H00148,L01
H00149,L07
