hh_id,eligible_count
H00002,1
H00015,1
H00019,1
H00021,1
H00026,1
H00029,1
H00034,1
H00040,1
H00044,1
H00051,1
H00077,1
H00086,1
H00092,1
H00095,1
H00105,1
H00109,1
H00110,1
H00116,1
H00117,1
H00131,1
H00138,1
H00140,1
H00148,1
H00153,1
H00163,1
H00180,1
H00181,1
H00182,1
H00187,1
H00200,1
H00205,1
H00206,1
H00208,1
H00225,1
H00229,1
H00230,1
H00250,1
H00256,1
H00259,1
H00263,1
H00279,1
H00283,1
H00294,1
H00302,1
H00303,1
H00310,1
H00311,1
H00316,1
H00327,1
H00333,1
H00345,1
H00346,1
H00357,1
H00359,1
H00360,1
H00398,1
H00414,1
H00419,1
H00423,1
H00428,1
H00429,1
H00438,1
H00440,1
H00450,1
H00452,1
H00456,1
H00457,1
H00461,1
H00462,1
H00469,1
H00471,1
H00472,1
H00482,1
H00497,1
H00504,1
H00514,1
H00527,1
H00533,1
H00537,1
H00544,1
H00545,1
H00546,1
H00559,1
H00560,1
H00565,1
H00566,1
H00570,1
H00573,1
H00577,1
H00580,1
H00600,1
H00603,1
H00606,1
H00610,1
H00617,1
H00625,1
H00650,1
H00654,1
H00665,1
H00667,1
H00685,1
H00696,1
H00699,1
H00704,1
H00706,1
H00718,1
H00719,1
H00721,1
H00730,1
H00731,1
H00733,1
H00742,1
H00751,1
H00753,1
H00758,1
H00762,1
H00791,1
H00792,1
H00794,1
H00795,1
H00802,1
H00804,1
H00810,1
H00837,1
H00841,1
H00847,1
H00848,1
H00856,1
H00859,1
H00862,1
H00867,1
H00879,1
H00881,1
H00884,1
H00899,1
H00906,1
H00917,1
H00921,1
H00938,1
H00942,1
H00944,1
H00949,1
H00951,1
H00958,1
H00964,1
H00966,1
H00974,1
H00984,1
H01013,1
H01014,1
H01019,1
H01029,1
H01032,1
H01042,1
H01047,1
H01049,1
H01054,1
H01058,1
H01064,1
H01067,1
H01071,1
H01075,1
H01089,1
H01095,1
H01098,1
H01111,1
H01112,1
H01117,1
H01128,1
H01133,1
H01137,1
H01142,1
H01143,1
H01144,1
H01146,1
H01156,1
H01179,1
H01180,1
H01196,1
H01207,1
H01208,1
H01222,1
H01223,1
H01229,1
H01233,1
H01242,1
H01243,1
H01267,1
H01271,1
H01275,1
H01278,1
H01280,1
H01289,1
H01294,1
H01297,1
H01303,1
H01306,1
H01307,1
H01313,1
H01322,1
H01323,1
H01339,1
H01342,1
H01346,1
H01367,1
H01378,1
H01380,1
H01383,1
H01392,1
H01418,1
H01423,1
H01428,1
H01429,1
H01430,1
H01432,1
H01435,1
H01442,1
H01444,1
H01447,1
H01452,1
H01456,1
H01458,1
H01481,1
H01482,1
H01492,1
H01497,1
H01503,1
H01521,1
H01524,1
H01535,1
H01552,1
H01553,1
H01556,1
H01569,1
H01571,1
H01575,1
H01580,1
H01583,1
H01590,1
H01599,1
H01612,1
H01617,1
H01621,1
H01623,1
H01626,1
H01633,1
H01637,1
H01651,1
H01652,1
H01656,1
H01659,1
H01662,1
H01668,1
H01679,1
H01682,1
H01687,1
H01707,1
H01713,1
H01724,1
H01726,1
H01732,1
H01735,1
H01750,1
H01758,1
H01762,1
H01765,1
H01772,1
H01774,1
H01777,1
H01783,1
H01784,1
H01795,1
H01810,1
H01814,1
H01818,1
H01824,1
H01827,1
H01837,1
H01838,1
H01860,1
H01866,1
H01877,1
H01883,1
H01891,1
H01893,1
H01895,1
H01897,1
H01914,1
H01924,1
H01937,1
H01939,1
H01950,1
H01952,1
H01960,1
H01975,1
H01980,1
H01981,1
H01987,1
H01998,1
H02001,1
H02008,1
H02011,1
H02018,1
H02025,1
H02055,1
H02059,1
H02068,1
H02070,1
H02073,1
H02074,1
H02075,1
H02080,1
H02083,1
H02085,1
H02098,1
H02099,1
H02110,1
H02116,1
H02118,1
H02124,1
H02133,1
H02134,1
H02136,1
H02147,1
H02151,1
H02161,1
H02166,1
H02174,1
H02203,1
H02209,1
H02211,1
H02212,1
H02222,1
H02224,1
H02229,1
H02235,1
H02242,1
H02245,1
H02246,1
H02251,1
H02255,1
H02272,1
H02286,1
H02288,1
H02297,1
H02303,1
H02310,1
H02311,1
H02316,1
H02319,1
H02321,1
H02322,1
H02335,1
H02341,1
H02345,1
H02348,1
H02352,1
H02370,1
H02385,1
H02390,1
H02404,1
H02409,1
H02414,1
H02423,1
H02435,1
H02442,1
H02452,1
H02463,1
H02464,1
H02478,1
H02499,1
H02503,1
H02504,1
H02507,1
H02521,1
H02526,1
H02534,1
H02537,1
H02543,1
H02546,1
H02551,1
H02555,1
H02558,1
H02560,1
