hh_id,responded,phase2,y,tenure,interview_domain
H00002,1,1,2.29409591,RENT,D01
H00015,1,1,2.13283821,OWN,D01
H00019,1,1,1.99212396,OWN,D01
H00021,1,1,2.39150285,RENT,D01
H00026,1,1,1.31676570,RENT,D01
H00029,1,1,1.29576516,OWN,D01
H00034,1,1,1.33629087,RENT,D01
H00040,1,1,1.56373189,RENT,D01
H00044,1,1,1.83156301,RENT,D01
H00051,1,1,1.15678822,OWN,D01
H00077,1,1,1.81582659,RENT,D01
H00086,1,1,1.92208913,OWN,D02
H00092,1,1,2.22072030,RENT,D02
H00095,1,1,1.71017969,OWN,D02
H00105,1,1,0.63062783,OWN,D02
H00109,1,1,1.15573431,OWN,D02
H00110,1,1,1.00442832,OWN,D02
H00116,1,1,0.97160022,OWN,D02
H00117,1,1,0.84142589,OWN,D02
H00131,1,1,1.34498852,OWN,D02
H00138,1,1,1.52028354,RENT,D02
H00140,1,1,0.80241344,OWN,D02
H00148,1,1,1.41510241,OWN,D02
H00153,1,1,1.62767237,RENT,D02
H00163,1,1,2.32035356,RENT,D03
H00180,1,1,1.83197149,RENT,D03
H00181,1,1,2.14164066,RENT,D03
H00182,1,1,2.38615106,OWN,D03
H00187,1,1,2.41488438,RENT,D03
H00200,1,1,1.27118366,RENT,D03
H00205,1,1,1.80481661,RENT,D03
H00206,1,1,1.39720616,OWN,D03
H00208,1,1,1.62630145,RENT,D03
H00225,1,1,1.49989734,OWN,D03
H00229,1,1,1.56624582,OWN,D03
H00230,1,1,1.34481790,RENT,D03
H00250,1,1,1.80737447,OWN,D04
H00256,1,1,2.08006947,OWN,D04
H00259,1,1,2.15804543,RENT,D04
H00263,1,1,2.00304969,OWN,D04
H00279,1,1,1.27066190,OWN,D04
H00283,1,1,1.33399675,OWN,D04
H00294,1,1,1.24890326,OWN,D04
H00302,1,1,1.41964673,RENT,D04
H00303,1,1,1.20613337,RENT,D04
H00310,1,1,1.18437825,OWN,D04
H00311,1,1,1.19343513,OWN,D04
H00316,1,1,1.28457292,RENT,D04
H00327,1,1,2.39358747,RENT,D05
H00333,1,1,2.30354256,RENT,D05
H00345,1,1,1.69458912,RENT,D05
H00346,1,1,2.10901458,OWN,D05
H00357,1,1,2.54258730,RENT,D05
H00359,1,1,1.74961784,OWN,D05
H00360,1,1,2.55225129,RENT,D05
H00398,1,1,1.09227486,OWN,D05
H00414,1,1,1.75420965,OWN,D06
H00419,1,1,2.56791139,RENT,D06
H00423,1,1,2.36071819,OWN,D06
H00428,1,1,2.00188614,OWN,D06
H00429,1,1,1.59336640,OWN,D06
