hh_id,listing_domain
H00000,L07
H00001,L06
H00002,L06
H00003,L02
H00004,L06
H00005,L01
H00006,L08
H00007,L02
H00008,L05
H00009,L07
H00010,L08
H00011,L01
H00012,L04
H00013,L02
H00014,L06
H00015,L02
H00016,L04
H00017,L01
H00018,L01
H00019,L08
H00020,L01
H00021,L04
H00022,L02
H00023,L04
H00024,L04
H00025,L06
H00026,L02
H00027,L02
H00028,L04
H00029,L04
H00030,L01
H00031,L04
H00032,L02
H00033,L01
H00034,L02
H00035,L02
H00036,L08
H00037,L01
H00038,L02
H00039,L03
H00040,L04
H00041,L06
H00042,L01
H00043,L01
H00044,L03
H00045,L02
H00046,L08
H00047,L02
H00048,L01
H00049,L08
H00050,L02
H00051,L07
H00052,L04
H00053,L02
H00054,L03
H00055,L02
H00056,L07
H00057,L03
H00058,L07
H00059,L07
H00060,L04
H00061,L03
H00062,L08
H00063,L07
H00064,L01
H00065,L06
H00066,L07
H00067,L03
H00068,L02
H00069,L03
H00070,L02
H00071,L06
H00072,L03
H00073,L08
H00074,L07
H00075,L05
H00076,L02
H00077,L08
H00078,L07
H00079,L02
H00080,L07
H00081,L05
H00082,L03
H00083,L04
H00084,L04
H00085,L03
H00086,L02
H00087,L07
H00088,L03
H00089,L08
H00090,L05
H00091,L05
H00092,L07
H00093,L08
H00094,L04
H00095,L02
H00096,L05
H00097,L07
H00098,L05
H00099,L05
H00100,L06
H00101,L04
H00102,L07
H00103,L07
H00104,L06
H00105,L08
H00106,L03
H00107,L01
H00108,L04
H00109,L05
H00110,L02
H00111,L03
H00112,L06
H00113,L01
H00114,L07
H00115,L07
H00116,L06
H00117,L03
H00118,L08
H00119,L04
H00120,L03
H00121,L06
H00122,L07
H00123,L04
H00124,L02
H00125,L06
H00126,L05
H00127,L07
H00128,L04
H00129,L07
H00130,L07
H00131,L06
H00132,L07
H00133,L01
H00134,L01
H00135,L05
H00136,L05
H00137,L06
H00138,L02
H00139,L07
H00140,L01
H00141,L07
H00142,L08
H00143,L04
H00144,L04
H00145,L06
H00146,L03
H00147,L04
H00148,L07
H00149,L05
H00150,L08
H00151,L04
H00152,L01
H00153,L03
H00154,L05
H00155,L07
H00156,L08
H00157,L04
H00158,L05
H00159,L03
H00160,L03
H00161,L03
H00162,L04
H00163,L04
H00164,L03
H00165,L03
H00166,L07
H00167,L03
H00168,L07
H00169,L04
H00170,L04
H00171,L05
H00172,L08
H00173,L07
H00174,L01
H00175,L06
H00176,L01
H00177,L07
H00178,L04
H00179,L04
H00180,L05
H00181,L01
H00182,L08
H00183,L06
H00184,L08
H00185,L02
H00186,L01
H00187,L07
H00188,L03
H00189,L06
