domain_id,status,est_ate,est_se
D01,identified,0.573508,0.180067
D02,identified,-0.112222,0.067714
D03,identified,0.219284,0.253881
D04,identified,0.432837,0.116321
D05,identified,0.484346,0.499942
D06,identified,0.332129,0.039931
D07,identified,0.453443,0.486897
D08,identified,0.392669,0.091422
D09,identified,0.238975,0.314389
D10,identified,0.342905,0.286125
D11,identified,0.179348,0.006553
D12,identified,0.513700,0.221990
D13,identified,-0.012346,0.010103
D14,identified,0.374087,0.346695
D15,identified,0.670794,0.348515
D16,identified,0.544767,0.106759
D17,identified,0.404129,0.061463
D18,identified,0.478642,0.155814
D19,identified,0.575831,0.120734
D20,identified,-0.321056,0.176064
D21,identified,0.731438,0.122054
D22,identified,0.532307,0.084207
D23,identified,-0.166902,0.012190
D24,identified,0.494640,0.188340
D25,identified,0.380569,0.211564
D26,identified,0.254808,0.241195
D27,identified,-0.115058,0.122578
D28,identified,0.189521,0.343883
D29,identified,0.659006,0.256012
D30,identified,0.092061,0.212709
D31,identified,0.563378,0.024912
D32,identified,-0.031976,0.069519
