hh_id,stratum,psu,domain_id,region,urban,tenure,design_weight,responded,phase2,y,eligible_count
H00002,ST01,P02,D01,EAST,1,RENT,6.66666667,1,1,2.29409591,1
H00015,ST01,P01,D01,EAST,1,OWN,6.66666667,1,1,2.13283821,1
H00019,ST01,P01,D01,EAST,1,OWN,6.66666667,1,1,1.99212396,1
H00021,ST01,P01,D01,EAST,1,RENT,6.66666667,1,1,2.39150285,1
H00026,ST01,P02,D01,EAST,0,RENT,6.66666667,1,1,1.31676570,1
H00029,ST01,P01,D01,EAST,0,OWN,6.66666667,1,1,1.29576516,1
H00034,ST01,P02,D01,EAST,0,RENT,6.66666667,1,1,1.33629087,1
H00040,ST01,P02,D01,EAST,0,RENT,6.66666667,1,1,1.56373189,1
H00044,ST01,P02,D01,EAST,0,RENT,6.66666667,1,1,1.83156301,1
H00051,ST01,P01,D01,EAST,0,OWN,6.66666667,1,1,1.15678822,1
H00077,ST01,P01,D01,EAST,0,RENT,6.66666667,1,1,1.81582659,1
H00086,ST01,P02,D02,EAST,1,OWN,6.66666667,1,1,1.92208913,1
H00092,ST01,P02,D02,EAST,1,RENT,6.66666667,1,1,2.22072030,1
H00095,ST01,P01,D02,EAST,1,OWN,6.66666667,1,1,1.71017969,1
H00105,ST01,P01,D02,EAST,0,OWN,6.66666667,1,1,0.63062783,1
H00109,ST01,P01,D02,EAST,0,OWN,6.66666667,1,1,1.15573431,1
H00110,ST01,P02,D02,EAST,0,OWN,6.66666667,1,1,1.00442832,1
H00116,ST01,P02,D02,EAST,0,OWN,6.66666667,1,1,0.97160022,1
H00117,ST01,P01,D02,EAST,0,OWN,6.66666667,1,1,0.84142589,1
H00131,ST01,P01,D02,EAST,0,OWN,6.66666667,1,1,1.34498852,1
H00138,ST01,P02,D02,EAST,0,RENT,6.66666667,1,1,1.52028354,1
H00140,ST01,P02,D02,EAST,0,OWN,6.66666667,1,1,0.80241344,1
H00148,ST01,P02,D02,EAST,0,OWN,6.66666667,1,1,1.41510241,1
H00153,ST01,P01,D02,EAST,0,RENT,6.66666667,1,1,1.62767237,1
H00163,ST02,P03,D03,EAST,1,RENT,6.66666667,1,1,2.32035356,1
H00180,ST02,P04,D03,EAST,1,RENT,6.66666667,1,1,1.83197149,1
H00181,ST02,P03,D03,EAST,1,RENT,6.66666667,1,1,2.14164066,1
H00182,ST02,P04,D03,EAST,1,OWN,6.66666667,1,1,2.38615106,1
H00187,ST02,P03,D03,EAST,1,RENT,6.66666667,1,1,2.41488438,1
H00200,ST02,P04,D03,EAST,0,RENT,6.66666667,1,1,1.27118366,1
H00205,ST02,P03,D03,EAST,0,RENT,6.66666667,1,1,1.80481661,1
H00206,ST02,P04,D03,EAST,0,OWN,6.66666667,1,1,1.39720616,1
H00208,ST02,P04,D03,EAST,0,RENT,6.66666667,1,1,1.62630145,1
H00225,ST02,P03,D03,EAST,0,OWN,6.66666667,1,1,1.49989734,1
H00229,ST02,P03,D03,EAST,0,OWN,6.66666667,1,1,1.56624582,1
H00230,ST02,P04,D03,EAST,0,RENT,6.66666667,1,1,1.34481790,1
H00250,ST02,P04,D04,EAST,1,OWN,6.66666667,1,1,1.80737447,1
H00256,ST02,P04,D04,EAST,1,OWN,6.66666667,1,1,2.08006947,1
H00259,ST02,P03,D04,EAST,1,RENT,6.66666667,1,1,2.15804543,1
H00263,ST02,P03,D04,EAST,1,OWN,6.66666667,1,1,2.00304969,1
H00279,ST02,P03,D04,EAST,0,OWN,6.66666667,1,1,1.27066190,1
H00283,ST02,P03,D04,EAST,0,OWN,6.66666667,1,1,1.33399675,1
H00294,ST02,P04,D04,EAST,0,OWN,6.66666667,1,1,1.24890326,1
H00302,ST02,P04,D04,EAST,0,RENT,6.66666667,1,1,1.41964673,1
H00303,ST02,P03,D04,EAST,0,RENT,6.66666667,1,1,1.20613337,1
H00310,ST02,P04,D04,EAST,0,OWN,6.66666667,1,1,1.18437825,1
H00311,ST02,P03,D04,EAST,0,OWN,6.66666667,1,1,1.19343513,1
H00316,ST02,P04,D04,EAST,0,RENT,6.66666667,1,1,1.28457292,1
H00327,ST03,P05,D05,EAST,1,RENT,6.66666667,1,1,2.39358747,1
H00333,ST03,P05,D05,EAST,1,RENT,6.66666667,1,1,2.30354256,1
H00345,ST03,P05,D05,EAST,1,RENT,6.66666667,1,1,1.69458912,1
H00346,ST03,P06,D05,EAST,1,OWN,6.66666667,1,1,2.10901458,1
